"Date","Site","Sub.site","Compound.Site","Sample.Type","Year","Month","Day","Site.Type","SRP","NH4","TDN","TDP","Seston.P","TP"
"5/31/12","BF","L","BF-L","s",2012,5,31,"m",0.698,4.88,51.029,0.561765794,NA,NA
"6/12/12","BF","L","BF-L","s",2012,6,12,"m",0.746,1.295,44.293,0.581137028,1.82e-06,3.151279885
"6/26/12","BF","L","BF-L","s",2012,6,26,"m",2.208,6.18,51.136,1.100931815,1.45e-06,4.761531815
"7/10/12","BF","L","BF-L","s",2012,7,10,"m",2.035,6.04,55.649,1.100931815,1.57e-06,4.710681815
"7/26/12","BF","L","BF-L","s",2012,7,26,"m",3.222,5.75,59.645,0.868477003,8.13e-07,4.903723157
"9/5/12","BF","L","BF-L","s",2012,9,5,"m",0.74,8.83,52.243,0.716735668,1.24e-06,2.692716918
"11/11/12","BF","L","BF-L","s",2012,11,11,"m",0.201,46.629,105.658,0.716735668,1.96e-06,2.874402335
"4/25/13","BF","L","BF-L","s",2013,4,25,"m",0.201,1.699,34.091,0.548851638,6.1e-07,1.359771638
"5/8/13","BF","L","BF-L","s",2013,5,8,"m",0.201,1.324,38.924,0.865248464,6.11e-07,1.676901798
"5/21/13","BF","L","BF-L","s",2013,5,21,"m",0.6763,1.536,45.132,0.807134761,4.28e-07,1.911048095
"6/5/13","BF","L","BF-L","s",2013,6,5,"m",0.8786,2.343,51.017,1.188102369,5e-07,2.566662369
"8/14/12","BF","L","BF-L","s",2012,8,14,"m",1.4,6.51,48.422,0.975018792,1.53e-06,3.908430556
"6/18/12","BF","L","BF-L","sw",2012,6,18,"m",1.531,2.024,47.043,0.674764661,NA,NA
"7/17/12","BF","L","BF-L","sw",2012,7,17,"m",1.881,6.38,84.85,1.023446877,NA,NA
"8/20/12","BF","L","BF-L","sw",2012,8,20,"m",0.996,6.25,46.806,0.694135895,NA,NA
"9/30/12","BF","L","BF-L","sw",2012,9,30,"m",0.201,6.43,54.494,0.497195013,5.2e-07,1.218445013
"11/11/12","BF","L","BF-L","sw",2012,11,11,"m",NA,NA,NA,NA,NA,NA
"4/4/13","BF","L","BF-L","sw",2013,4,4,"m",0.7977,0.786,48.502,1.417328641,NA,NA
"5/15/13","BF","L","BF-L","sw",2013,5,15,"m",0.201,5.571,44.875,0.564994333,NA,NA
"6/11/13","BF","L","BF-L","sw",2013,6,11,"m",0.5033,2.178,50.213,1.088017658,NA,NA
"7/1/13","BF","L","BF-L","sw",2013,7,1,"m",0.6293,0.822,45.946,0.978247331,NA,NA
"8/5/13","BF","L","BF-L","sw",2013,8,5,"m",0.6406,3.693,44.61,0.584365567,NA,NA
"10/16/13","BF","L","BF-L","sw",2013,10,16,"m",0.201,1.188,42.413,0.280882897,NA,NA
"6/18/12","BF","M","BF-M","sw",2012,6,18,"m",NA,NA,NA,NA,NA,NA
"7/17/12","BF","M","BF-M","sw",2012,7,17,"m",NA,NA,NA,NA,NA,NA
"8/20/12","BF","M","BF-M","sw",2012,8,20,"m",NA,NA,NA,NA,NA,NA
"9/30/12","BF","M","BF-M","sw",2012,9,30,"m",NA,NA,NA,NA,NA,NA
"11/11/12","BF","M","BF-M","sw",2012,11,11,"m",NA,NA,NA,NA,NA,NA
"4/4/13","BF","M","BF-M","sw",2013,4,4,"m",0.5505,0.863,27.622,0.936276323,NA,NA
"5/15/13","BF","M","BF-M","sw",2013,5,15,"m",1.6244,3.138,52.231,1.307558313,NA,NA
"6/11/13","BF","M","BF-M","sw",2013,6,11,"m",0.5745,1.491,56.075,1.110617432,NA,NA
"7/1/13","BF","M","BF-M","sw",2013,7,1,"m",0.5844,17.958,67.95,0.826505996,NA,NA
"8/5/13","BF","M","BF-M","sw",2013,8,5,"m",0.5719,3.211,67.95,4.103473127,NA,NA
"10/16/13","BF","M","BF-M","sw",2013,10,16,"m",0.3572,3.692,53.209,0.410024459,NA,NA
"6/18/12","BF","U","BF-U","sw",2012,6,18,"m",NA,NA,NA,NA,NA,NA
"7/17/12","BF","U","BF-U","sw",2012,7,17,"m",NA,NA,NA,NA,NA,NA
"8/20/12","BF","U","BF-U","sw",2012,8,20,"m",NA,NA,NA,NA,NA,NA
"9/30/12","BF","U","BF-U","sw",2012,9,30,"m",NA,NA,NA,NA,NA,NA
"11/11/12","BF","U","BF-U","sw",2012,11,11,"m",NA,NA,NA,NA,NA,NA
"4/4/13","BF","U","BF-U","sw",2013,4,4,"m",0.6907,1.147,27.03,1.242987533,NA,NA
"5/15/13","BF","U","BF-U","sw",2013,5,15,"m",3.4027,6.183,61.436,2.598973932,NA,NA
"6/11/13","BF","U","BF-U","sw",2013,6,11,"m",1.4553,1.54,32.172,1.875781185,NA,NA
"7/1/13","BF","U","BF-U","sw",2013,7,1,"m",NA,NA,NA,NA,NA,NA
"8/5/13","BF","U","BF-U","sw",2013,8,5,"m",NA,NA,NA,NA,NA,NA
"10/16/13","BF","U","BF-U","sw",2013,10,16,"m",4.7773,4.433,57.631,2.77331504,NA,NA
