"Date","Site","Sub.site","Compound.Site","Sample.Type","Year","Month","Day","Site.Type","SRP","NH4","TDN","TDP","Seston.P","TP"
"3/30/12","CB","DWN","CB-DWN","s",2012,3,30,"m",0.3208,0.376,25.138,NA,NA,NA
"4/16/12","CB","DWN","CB-DWN","s",2012,4,16,"m",0.201,4.027,21.46,0.184026726,NA,NA
"4/6/12","CB","DWN","CB-DWN","s",2012,4,6,"m",0.201,4.091,18.229,0.142055718,NA,NA
"4/26/12","CB","DWN","CB-DWN","s",2012,4,26,"m",0.201,7.338,21.09,0.164655491,NA,NA
"5/9/12","CB","DWN","CB-DWN","s",2012,5,9,"m",0.2107,5.392,23.722,0.200169421,NA,NA
"5/31/12","CB","L","CB-L","s",2012,5,31,"m",0.341,4.54,25.097,0.274425819,NA,NA
"6/12/12","CB","L","CB-L","s",2012,6,12,"m",0.238,1.231,18.807,0.187255265,4.57e-07,0.882255265
"6/26/12","CB","L","CB-L","s",2012,6,26,"m",0.201,6.86,19.199,0.184026726,8.75e-07,1.259606726
"7/10/12","CB","L","CB-L","s",2012,7,10,"m",0.201,6.18,19.012,0.177569648,6.44e-07,1.022649648
"7/26/12","CB","L","CB-L","s",2012,7,26,"m",0.201,5.93,16.966,0.125913023,8.13e-07,1.139633023
"8/14/12","CB","L","CB-L","s",2012,8,14,"m",0.201,6.11,16.48,0.16788403,3.17e-07,0.686148736
"9/5/12","CB","L","CB-L","s",2012,9,5,"m",0.214,9.02,30.109,0.274425819,3.15e-07,0.803465819
"11/11/12","CB","L","CB-L","s",2012,11,11,"m",0.201,8.095,44.314,0.103313249,2.8e-07,0.584569916
"4/25/13","CB","L","CB-L","s",2013,4,25,"m",0.201,0.939,19.354,0.209855038,2.68e-07,0.678578371
"5/8/13","CB","L","CB-L","s",2013,5,8,"m",0.201,1.581,26.522,0.390653225,6.49e-07,1.241113225
"5/21/13","CB","L","CB-L","s",2013,5,21,"m",0.2319,1.353,31.989,0.251826046,6.91e-07,1.174686046
"6/5/13","CB","L","CB-L","s",2013,6,5,"m",0.201,1.956,30.366,0.390653225,3.07e-07,0.898357225
"3/30/12","CB","LAT","CB-LAT","s",2012,3,30,"m",0.4020864,0.376,27.479,NA,NA,NA
"4/6/12","CB","LAT","CB-LAT","s",2012,4,6,"m",0.201,4.477,26.734,0.526251864,NA,NA
