"Date","Site","Sub.site","Compound.Site","Sample.Type","Year","Month","Day","Site.Type","SRP","NH4","TDN","TDP","Seston.P","TP"
"5/31/12","DL","L","DL-L","s",2012,5,31,"m",1.235,5.02,46.023,0.826505996,NA,NA
"6/12/12","DL","L","DL-L","s",2012,6,12,"m",0.354,1.854,38.417,0.6779932,6.66e-07,1.6975532
"6/26/12","DL","L","DL-L","s",2012,6,26,"m",0.519,5.81,42.33,0.487509396,8.62e-07,1.868842729
"7/10/12","DL","L","DL-L","s",2012,7,10,"m",0.613,8.29,48.412,0.668307582,1.08e-06,2.360479011
"7/26/12","DL","L","DL-L","s",2012,7,26,"m",0.229,5.99,54.108,0.519794786,6.31e-07,1.379933248
"8/14/12","DL","L","DL-L","s",2012,8,14,"m",0.253,6.51,47.6,0.581137028,7.62e-07,1.596122742
"9/5/12","DL","L","DL-L","s",2012,9,5,"m",0.411,8.65,57.452,0.716735668,1.43e-06,2.559195668
"4/25/13","DL","L","DL-L","s",2013,4,25,"m",0.3308,0.565,36.827,0.794220605,5.17e-07,1.642300605
"5/8/13","DL","L","DL-L","s",2013,5,8,"m",0.4694,2.029,48.122,0.965333175,4.07e-07,1.841393175
"5/21/13","DL","L","DL-L","s",2013,5,21,"m",0.262,3.514,61.052,0.623108036,4.13e-07,1.298033036
"6/5/13","DL","L","DL-L","s",2013,6,5,"m",0.6873,3.293,77.829,1.01376126,9.17e-07,2.61773626
"6/18/12","DL","L","DL-L","sw",2012,6,18,"m",0.699,1.551,37.724,0.694135895,NA,NA
"7/17/12","DL","L","DL-L","sw",2012,7,17,"m",0.225,6.78,50.521,0.54239456,NA,NA
"8/20/12","DL","L","DL-L","sw",2012,8,20,"m",0.455,11.21,117.555,0.629565114,NA,NA
"9/30/12","DL","L","DL-L","sw",2012,9,30,"m",0.491,6.51,97.148,0.606965341,3.4e-07,1.438432007
"11/11/12","DL","L","DL-L","sw",2012,11,11,"m",NA,NA,NA,NA,NA,NA
"4/4/13","DL","L","DL-L","sw",2013,4,4,"m",NA,NA,NA,NA,NA,NA
"5/15/13","DL","L","DL-L","sw",2013,5,15,"m",18.2574209,2.322,48.318,NA,NA,NA
"6/11/13","DL","L","DL-L","sw",2013,6,11,"m",0.7235,1.609,47.485,0.958876097,NA,NA
"7/1/13","DL","L","DL-L","sw",2013,7,1,"m",0.5645,0.656,50.071,0.739335441,NA,NA
"8/5/13","DL","L","DL-L","sw",2013,8,5,"m",0.5817,0.484,36.223,0.322853905,NA,NA
"10/16/13","DL","L","DL-L","sw",2013,10,16,"m",0.2536,4.72,52.793,0.497195013,NA,NA
"6/18/12","DL","M","DL-M","sw",2012,6,18,"m",NA,NA,NA,NA,NA,NA
"7/17/12","DL","M","DL-M","sw",2012,7,17,"m",NA,NA,NA,NA,NA,NA
"8/20/12","DL","M","DL-M","sw",2012,8,20,"m",NA,NA,NA,NA,NA,NA
"9/30/12","DL","M","DL-M","sw",2012,9,30,"m",NA,NA,NA,NA,NA,NA
"11/11/12","DL","M","DL-M","sw",2012,11,11,"m",NA,NA,NA,NA,NA,NA
"4/4/13","DL","M","DL-M","sw",2013,4,4,"m",NA,NA,NA,NA,NA,NA
"5/15/13","DL","M","DL-M","sw",2013,5,15,"m",NA,NA,NA,NA,NA,NA
"6/11/13","DL","M","DL-M","sw",2013,6,11,"m",4.2177,2.356,50.088,5.995397008,NA,NA
"7/1/13","DL","M","DL-M","sw",2013,7,1,"m",NA,NA,NA,NA,NA,NA
"8/5/13","DL","M","DL-M","sw",2013,8,5,"m",NA,NA,NA,NA,NA,NA
"10/16/13","DL","M","DL-M","sw",2013,10,16,"m",NA,NA,NA,NA,NA,NA
"6/18/12","DL","U","DL-U","sw",2012,6,18,"m",NA,NA,NA,NA,NA,NA
"7/17/12","DL","U","DL-U","sw",2012,7,17,"m",NA,NA,NA,NA,NA,NA
"8/20/12","DL","U","DL-U","sw",2012,8,20,"m",NA,NA,NA,NA,NA,NA
"9/30/12","DL","U","DL-U","sw",2012,9,30,"m",NA,NA,NA,NA,NA,NA
"11/11/12","DL","U","DL-U","sw",2012,11,11,"m",NA,NA,NA,NA,NA,NA
"4/4/13","DL","U","DL-U","sw",2013,4,4,"m",NA,NA,NA,NA,NA,NA
"5/15/13","DL","U","DL-U","sw",2013,5,15,"m",0.201,9.61,NA,0.674764661,NA,NA
"6/11/13","DL","U","DL-U","sw",2013,6,11,"m",2.2048,1.097,44.568,2.686144486,NA,NA
"7/1/13","DL","U","DL-U","sw",2013,7,1,"m",NA,NA,NA,NA,NA,NA
"8/5/13","DL","U","DL-U","sw",2013,8,5,"m",NA,NA,NA,NA,NA,NA
"10/16/13","DL","U","DL-U","sw",2013,10,16,"m",NA,NA,NA,NA,NA,NA
