"Date","Site","Sub.site","Compound.Site","Sample.Type","Year","Month","Day","Site.Type","SRP","NH4","TDN","TDP","Seston.P","TP"
"5/31/12","DR","L","DR-L","s",2012,5,31,"u",1.091,4.95,26.549,0.484280857,NA,NA
"6/12/12","DR","L","DR-L","s",2012,6,12,"u",0.364,1.959,31.486,0.390653225,1.63e-06,2.389431002
"6/26/12","DR","L","DR-L","s",2012,6,26,"u",0.58,6.11,15.836,0.348682217,5.06e-07,1.434492217
"7/10/12","DR","L","DR-L","s",2012,7,10,"u",0.617,5.87,19.468,0.50688063,6.19e-07,1.74273063
"7/26/12","DR","L","DR-L","s",2012,7,26,"u",0.454,5.61,15.507,0.368053451,1.96e-06,2.781753451
"8/14/12","DR","L","DR-L","s",2012,8,14,"u",0.553,6.34,18.432,NA,8.16e-07,NA
"9/5/12","DR","L","DR-L","s",2012,9,5,"u",1.047,6.7,34.012,1.178416752,1.24e-06,3.469979252
"4/25/13","DR","L","DR-L","s",2013,4,25,"u",0.201,0.592,24.776,0.232454811,2.25e-06,2.680554811
"5/8/13","DR","L","DR-L","s",2013,5,8,"u",0.201,1.665,36.181,0.545623099,1.66e-06,2.409323099
"5/21/13","DR","L","DR-L","s",2013,5,21,"u",0.8753,0.731,35.495,0.71027859,1.2e-06,2.790311923
"6/5/13","DR","L","DR-L","s",2013,6,5,"u",0.201,0.6,39.948,0.636022192,5.44e-07,1.380672192
"6/18/12","DR","L","DR-L","sw",2012,6,18,"u",0.412,1.452,27.611,0.564994333,NA,NA
"7/17/12","DR","L","DR-L","sw",2012,7,17,"u",NA,NA,NA,NA,NA,NA
"8/20/12","DR","L","DR-L","sw",2012,8,20,"u",0.372,6.56,20.783,0.345453678,NA,NA
"9/30/12","DR","L","DR-L","sw",2012,9,30,"u",NA,NA,NA,NA,NA,NA
"11/11/12","DR","L","DR-L","sw",2012,11,11,"u",NA,NA,NA,NA,NA,NA
"4/4/13","DR","L","DR-L","sw",2013,4,4,"u",NA,NA,NA,NA,NA,NA
"5/15/13","DR","L","DR-L","sw",2013,5,15,"u",0.2903,9.165,38.812,0.564994333,NA,NA
"6/11/13","DR","L","DR-L","sw",2013,6,11,"u",1.1216,2.654,43.141,1.046046651,NA,NA
"7/1/13","DR","L","DR-L","sw",2013,7,1,"u",0.826,5.963,35.033,0.871705542,NA,NA
"8/5/13","DR","L","DR-L","sw",2013,8,5,"u",0.8319,7.917,47.599,0.519794786,NA,NA
"10/16/13","DR","L","DR-L","sw",2013,10,16,"u",NA,NA,NA,NA,NA,NA
"6/18/12","DR","M","DR-M","sw",2012,6,18,"u",NA,NA,NA,NA,NA,NA
"7/17/12","DR","M","DR-M","sw",2012,7,17,"u",NA,NA,NA,NA,NA,NA
"8/20/12","DR","M","DR-M","sw",2012,8,20,"u",NA,NA,NA,NA,NA,NA
"9/30/12","DR","M","DR-M","sw",2012,9,30,"u",NA,NA,NA,NA,NA,NA
"11/11/12","DR","M","DR-M","sw",2012,11,11,"u",NA,NA,NA,NA,NA,NA
"4/4/13","DR","M","DR-M","sw",2013,4,4,"u",NA,NA,NA,NA,NA,NA
"5/15/13","DR","M","DR-M","sw",2013,5,15,"u",NA,NA,NA,NA,NA,NA
"6/11/13","DR","M","DR-M","sw",2013,6,11,"u",0.8748,4.871,47.046,0.891076777,NA,NA
"7/1/13","DR","M","DR-M","sw",2013,7,1,"u",2.1558,1.022,66.068,2.356833503,NA,NA
"8/5/13","DR","M","DR-M","sw",2013,8,5,"u",2.0095,0.944,39.897,0.826505996,NA,NA
"10/16/13","DR","M","DR-M","sw",2013,10,16,"u",NA,NA,NA,NA,NA,NA
"6/18/12","DR","U","DR-U","sw",2012,6,18,"u",NA,NA,NA,NA,NA,NA
"7/17/12","DR","U","DR-U","sw",2012,7,17,"u",NA,NA,NA,NA,NA,NA
"8/20/12","DR","U","DR-U","sw",2012,8,20,"u",NA,NA,NA,NA,NA,NA
"9/30/12","DR","U","DR-U","sw",2012,9,30,"u",NA,NA,NA,NA,NA,NA
"11/11/12","DR","U","DR-U","sw",2012,11,11,"u",NA,NA,NA,NA,NA,NA
"4/4/13","DR","U","DR-U","sw",2013,4,4,"u",NA,NA,NA,NA,NA,NA
"5/15/13","DR","U","DR-U","sw",2013,5,15,"u",NA,NA,NA,NA,NA,NA
"6/11/13","DR","U","DR-U","sw",2013,6,11,"u",1.5509,1.704,32.088,1.242987533,NA,NA
"7/1/13","DR","U","DR-U","sw",2013,7,1,"u",6.1824,0.536,30.807,2.159892622,NA,NA
"8/5/13","DR","U","DR-U","sw",2013,8,5,"u",NA,NA,NA,NA,NA,NA
"10/16/13","DR","U","DR-U","sw",2013,10,16,"u",NA,NA,NA,NA,NA,NA
