"Date","Site","Sub.site","Compound.Site","Sample.Type","Year","Month","Day","Site.Type","SRP","NH4","TDN","TDP","Seston.P","TP"
"5/31/12","PT","L","PT-L","s",2012,5,31,"u",2.319,5.24,57.095,1.146131361,NA,NA
"6/12/12","PT","L","PT-L","s",2012,6,12,"u",0.791,1.43,40.768,1.062189346,8.4e-07,2.692777581
"6/26/12","PT","L","PT-L","s",2012,6,26,"u",0.882,5.94,49.629,0.887848238,5.96e-07,2.36597551
"7/10/12","PT","L","PT-L","s",2012,7,10,"u",0.395,6.33,58.572,0.636022192,8.49e-07,1.879552192
"7/26/12","PT","L","PT-L","s",2012,7,26,"u",0.349,6.42,79.211,0.700592973,2.25e-06,3.297792973
"8/14/12","PT","L","PT-L","s",2012,8,14,"u",0.541,9.16,111.414,1.016989799,7.95e-07,2.352736466
"9/5/12","PT","L","PT-L","s",2012,9,5,"u",0.341,7.35,51.609,0.774849371,6.24e-07,1.740141038
"4/25/13","PT","L","PT-L","s",2013,4,25,"u",0.5089,0.856,46.015,0.887848238,7.64e-07,2.160381331
"5/8/13","PT","L","PT-L","s",2013,5,8,"u",0.3275,1.14,39.17,1.197787986,2.47e-06,3.995615855
"5/21/13","PT","L","PT-L","s",2013,5,21,"u",1.4585,0.822,53.331,1.391500329,9.95e-07,3.845066995
"6/5/13","PT","L","PT-L","s",2013,6,5,"u",3.2562,2.397,47.357,3.867789777,1.07e-06,8.191589777
"5/31/12","PT","UP","PT-UP","s",2012,5,31,"u",NA,5.123,56.269,1.230073376,NA,NA
"6/18/12","PT","L","PT-L","sw",2012,6,18,"u",0.792,1.417,44.174,1.133217205,NA,NA
"7/17/12","PT","L","PT-L","sw",2012,7,17,"u",0.409,7.39,58.916,0.803906222,NA,NA
"8/20/12","PT","L","PT-L","sw",2012,8,20,"u",0.372,7.21,71.692,0.936276323,NA,NA
"9/30/12","PT","L","PT-L","sw",2012,9,30,"u",0.363,7.03,52.657,0.606965341,8.14e-07,1.783951055
"11/11/12","PT","L","PT-L","sw",2012,11,11,"u",NA,NA,NA,NA,NA,NA
"4/4/13","PT","L","PT-L","sw",2013,4,4,"u",NA,NA,NA,NA,NA,NA
"5/15/13","PT","L","PT-L","sw",2013,5,15,"u",0.3338,4.363,56.36,1.28495854,NA,NA
"6/11/13","PT","L","PT-L","sw",2013,6,11,"u",1.5198,1.585,46.47,2.159892622,NA,NA
"7/1/13","PT","L","PT-L","sw",2013,7,1,"u",7.5993,0.959,73.931,4.539325898,NA,NA
"8/5/13","PT","L","PT-L","sw",2013,8,5,"u",0.6602,1.82,45.478,0.345453678,NA,NA
"10/16/13","PT","L","PT-L","sw",2013,10,16,"u",1.9558,6.526,68.843,1.28495854,NA,NA
"6/18/12","PT","M","PT-M","sw",2012,6,18,"u",NA,NA,NA,NA,NA,NA
"7/17/12","PT","M","PT-M","sw",2012,7,17,"u",NA,NA,NA,NA,NA,NA
"8/20/12","PT","M","PT-M","sw",2012,8,20,"u",NA,NA,NA,NA,NA,NA
"9/30/12","PT","M","PT-M","sw",2012,9,30,"u",NA,NA,NA,NA,NA,NA
"11/11/12","PT","M","PT-M","sw",2012,11,11,"u",NA,NA,NA,NA,NA,NA
"4/4/13","PT","M","PT-M","sw",2013,4,4,"u",NA,NA,NA,NA,NA,NA
"5/15/13","PT","M","PT-M","sw",2013,5,15,"u",NA,NA,NA,NA,NA,NA
"6/11/13","PT","M","PT-M","sw",2013,6,11,"u",1.7511,1.483,49.579,2.269662949,NA,NA
"7/1/13","PT","M","PT-M","sw",2013,7,1,"u",3.1145,1.007,89.333,3.535250255,NA,NA
"8/5/13","PT","M","PT-M","sw",2013,8,5,"u",3.0178,0.572,14.104,0.410024459,NA,NA
"10/16/13","PT","M","PT-M","sw",2013,10,16,"u",NA,NA,NA,NA,NA,NA
"6/18/12","PT","U","PT-U","sw",2012,6,18,"u",NA,NA,NA,NA,NA,NA
"7/17/12","PT","U","PT-U","sw",2012,7,17,"u",NA,NA,NA,NA,NA,NA
"8/20/12","PT","U","PT-U","sw",2012,8,20,"u",NA,NA,NA,NA,NA,NA
"9/30/12","PT","U","PT-U","sw",2012,9,30,"u",NA,NA,NA,NA,NA,NA
"11/11/12","PT","U","PT-U","sw",2012,11,11,"u",NA,NA,NA,NA,NA,NA
"4/4/13","PT","U","PT-U","sw",2013,4,4,"u",NA,NA,NA,NA,NA,NA
"5/15/13","PT","U","PT-U","sw",2013,5,15,"u",1.1812,4.456,46.436,2.905685141,NA,NA
"6/11/13","PT","U","PT-U","sw",2013,6,11,"u",1.2395,1.291,34.326,1.875781185,NA,NA
"7/1/13","PT","U","PT-U","sw",2013,7,1,"u",2.9227,4.768,47.096,2.663544713,NA,NA
"8/5/13","PT","U","PT-U","sw",2013,8,5,"u",NA,NA,NA,NA,NA,NA
"10/16/13","PT","U","PT-U","sw",2013,10,16,"u",NA,NA,NA,NA,NA,NA
