DATES,Carpenters,Butterfield,Delaney
1973-01-01,0,0,0
1973-01-02,0,0,0
1973-01-03,0,0,0
1973-01-04,0,0,0
1973-01-05,0,0,0
1973-01-06,0,0,0
1973-01-07,0,0,0
1973-01-08,0,0,0
1973-01-09,0,0,0
1973-01-10,0,0,0
1973-01-11,0,0,0
1973-01-12,0,0,0
1973-01-13,0,0,0
1973-01-14,0,0,0
1973-01-15,0,0,0
1973-01-16,0,0,0
1973-01-17,0,0,0
1973-01-18,0,0,0
1973-01-19,0,0,0
1973-01-20,0,0,0
1973-01-21,0,0,0
1973-01-22,0,0,0
1973-01-23,0,0,0
1973-01-24,0,0,0
1973-01-25,0,0,0
1973-01-26,0,0,0
1973-01-27,0,0,0
1973-01-28,0,0,0
1973-01-29,0,0,0
1973-01-30,0,0,0
1973-01-31,0,0,0
1973-02-01,0,0,0
1973-02-02,0,0,0
1973-02-03,0,0,0
1973-02-04,0,0,0
1973-02-05,0,0,0
1973-02-06,0,0,0
1973-02-07,0,0,0
1973-02-08,0,0,0
1973-02-09,0,0,0
1973-02-10,0,0,0
1973-02-11,0,0,0
1973-02-12,0,0,0
1973-02-13,0,0,0
1973-02-14,0,0,0
1973-02-15,0,0,0
1973-02-16,0,0,0
1973-02-17,0,0,0
1973-02-18,0,0,0
1973-02-19,0,0,0
1973-02-20,0,0,0
1973-02-21,0,0,0
1973-02-22,0,0,0
1973-02-23,0,0,0
1973-02-24,0,0,0
1973-02-25,0,0,0
1973-02-26,0,0,0
1973-02-27,0,0,0
1973-02-28,0,0,0
1973-03-01,0,0,0
1973-03-02,0,0,0
1973-03-03,0,0,0
1973-03-04,0,0,0
1973-03-05,0,0,0
1973-03-06,0,0,0
1973-03-07,0,0,0
1973-03-08,0,0,0
1973-03-09,0,0,0
1973-03-10,0,0,0
1973-03-11,0,0,0
1973-03-12,0,0,0
1973-03-13,0,0,0
1973-03-14,0,0,0
1973-03-15,0,0,0
1973-03-16,0,0,0
1973-03-17,0,0,0
1973-03-18,0,0,0
1973-03-19,0,0,0
1973-03-20,0,0,0
1973-03-21,0,0,0
1973-03-22,0,0,0
1973-03-23,0,0,0
1973-03-24,0,0,0
1973-03-25,0,0,0
1973-03-26,0,0,0
1973-03-27,0,0,0
1973-03-28,0,0,0
1973-03-29,0,0,0
1973-03-30,0,0,0
1973-03-31,0,0,0
1973-04-01,0,0,0
1973-04-02,0,0,0
1973-04-03,0,0,0
1973-04-04,0,0,0
1973-04-05,0,0,0
1973-04-06,0,0,0
1973-04-07,0,0,0
1973-04-08,0,0,0
1973-04-09,0,0,0
1973-04-10,0,0,0
1973-04-11,0,0,0
1973-04-12,0,0,0
1973-04-13,0,0,0
1973-04-14,0,0,0
1973-04-15,0,0,0
1973-04-16,0,0,0
1973-04-17,0,0,0
1973-04-18,0,0,0
1973-04-19,0,0,0
1973-04-20,0,0,0
1973-04-21,0,0,0
1973-04-22,0,0,0
1973-04-23,0,0,0
1973-04-24,0,0,0
1973-04-25,0,0,0
1973-04-26,0,0,0
1973-04-27,0,0,0
1973-04-28,0,0,0
1973-04-29,0,0,0
1973-04-30,0,0,0
1973-05-01,0,0,0
1973-05-02,0,0,0
1973-05-03,0,0,0
1973-05-04,0,0,0
1973-05-05,0,0,0
1973-05-06,0,0,0
1973-05-07,0,0,0
1973-05-08,0,0,0
1973-05-09,0,0,0
1973-05-10,0,0,0
1973-05-11,0,0,0
1973-05-12,0,0,0
1973-05-13,0,0,0
1973-05-14,0,0,0
1973-05-15,0,0,0
1973-05-16,0,0,0
1973-05-17,0,0,0
1973-05-18,0,0,0
1973-05-19,0,0,0
1973-05-20,0,0,0
1973-05-21,0,0,0
1973-05-22,0,0,0
1973-05-23,0,0,0
1973-05-24,0,0,0
1973-05-25,0,0,0
1973-05-26,0,0,0
1973-05-27,0,0,0
1973-05-28,0,0,0
1973-05-29,0,0,0
1973-05-30,0,0,0
1973-05-31,0,0,0
1973-06-01,-11.43,-11.43,-11.43
1973-06-02,0,0,0
1973-06-03,0,0,0
1973-06-04,0,0,0
1973-06-05,0,0,0
1973-06-06,0,0,0
1973-06-07,0,0,0
1973-06-08,0,0,0
1973-06-09,0,0,0
1973-06-10,0,0,0
1973-06-11,0,0,0
1973-06-12,0,0,0
1973-06-13,0,0,0
1973-06-14,0,0,0
1973-06-15,-11.43,-11.43,-11.43
1973-06-16,0,0,0
1973-06-17,0,0,0
1973-06-18,0,0,0
1973-06-19,0,0,0
1973-06-20,0,0,0
1973-06-21,0,0,0
1973-06-22,0,0,0
1973-06-23,0,0,0
1973-06-24,0,0,0
1973-06-25,0,0,0
1973-06-26,0,0,0
1973-06-27,0,0,0
1973-06-28,0,0,0
1973-06-29,0,0,0
1973-06-30,-11.43,-11.43,-11.43
1973-07-01,0,0,0
1973-07-02,0,0,0
1973-07-03,0,0,0
1973-07-04,0,0,0
1973-07-05,0,0,0
