STATION,DATE,PRCP,TMAX,TMIN,WL
WATERTOWN REGIONAL AIRPORT SD US,1/1/43,0,-50,-133,74.602
WATERTOWN REGIONAL AIRPORT SD US,1/2/43,53,-128,-183,74.602
WATERTOWN REGIONAL AIRPORT SD US,1/3/43,89,-156,-272,74.605
WATERTOWN REGIONAL AIRPORT SD US,1/4/43,0,-172,-289,74.645
WATERTOWN REGIONAL AIRPORT SD US,1/5/43,0,-94,-278,74.651
WATERTOWN REGIONAL AIRPORT SD US,1/6/43,0,-139,-228,74.639
WATERTOWN REGIONAL AIRPORT SD US,1/7/43,0,-111,-239,74.63
WATERTOWN REGIONAL AIRPORT SD US,1/8/43,8,-17,-278,74.627
WATERTOWN REGIONAL AIRPORT SD US,1/9/43,0,-11,-61,74.618
WATERTOWN REGIONAL AIRPORT SD US,1/10/43,0,-11,-106,74.627
WATERTOWN REGIONAL AIRPORT SD US,1/11/43,0,-56,-161,74.642
WATERTOWN REGIONAL AIRPORT SD US,1/12/43,0,-122,-233,74.688
WATERTOWN REGIONAL AIRPORT SD US,1/13/43,0,22,-256,74.663
WATERTOWN REGIONAL AIRPORT SD US,1/14/43,0,17,-83,74.621
WATERTOWN REGIONAL AIRPORT SD US,1/15/43,46,-33,-122,74.679
WATERTOWN REGIONAL AIRPORT SD US,1/16/43,20,-111,-317,74.657
WATERTOWN REGIONAL AIRPORT SD US,1/17/43,0,-283,-361,74.651
WATERTOWN REGIONAL AIRPORT SD US,1/18/43,0,-267,-333,74.642
WATERTOWN REGIONAL AIRPORT SD US,1/19/43,0,-244,-350,74.761
WATERTOWN REGIONAL AIRPORT SD US,1/20/43,10,-256,-311,74.761
WATERTOWN REGIONAL AIRPORT SD US,1/21/43,0,-150,-256,74.636
WATERTOWN REGIONAL AIRPORT SD US,1/22/43,0,-161,-228,74.633
WATERTOWN REGIONAL AIRPORT SD US,1/23/43,0,-206,-261,74.648
WATERTOWN REGIONAL AIRPORT SD US,1/24/43,0,-200,-278,74.627
WATERTOWN REGIONAL AIRPORT SD US,1/25/43,0,-200,-328,74.651
WATERTOWN REGIONAL AIRPORT SD US,1/26/43,0,-100,-289,74.682
WATERTOWN REGIONAL AIRPORT SD US,1/27/43,0,-22,-122,74.669
WATERTOWN REGIONAL AIRPORT SD US,1/28/43,0,0,-122,74.663
WATERTOWN REGIONAL AIRPORT SD US,1/29/43,5,-6,-50,74.66
WATERTOWN REGIONAL AIRPORT SD US,1/30/43,3,-28,-133,74.633
WATERTOWN REGIONAL AIRPORT SD US,1/31/43,0,-133,-228,74.651
WATERTOWN REGIONAL AIRPORT SD US,2/1/43,0,-33,-250,74.761
WATERTOWN REGIONAL AIRPORT SD US,2/2/43,5,17,-167,74.703
WATERTOWN REGIONAL AIRPORT SD US,2/3/43,157,17,-100,74.66
WATERTOWN REGIONAL AIRPORT SD US,2/4/43,0,-28,-106,74.672
WATERTOWN REGIONAL AIRPORT SD US,2/5/43,0,-33,-156,74.697
