STATION,DATE,PRCP,TMAX,TMIN,ABay.WL
GOUVERNUERS & WATERTOWN,1/1/2000,0,47,-111,74.383
GOUVERNUERS & WATERTOWN,1/2/2000,34.5,94.5,-30.5,74.364
GOUVERNUERS & WATERTOWN,1/3/2000,99.5,130.5,-16.5,74.311
GOUVERNUERS & WATERTOWN,1/4/2000,104.5,92,-14,74.427
GOUVERNUERS & WATERTOWN,1/5/2000,34.5,61,-111.5,74.385
GOUVERNUERS & WATERTOWN,1/6/2000,0,5.5,-114,74.435
GOUVERNUERS & WATERTOWN,1/7/2000,17.5,25,-58,74.468
GOUVERNUERS & WATERTOWN,1/8/2000,0,33.5,-41.5,74.439
GOUVERNUERS & WATERTOWN,1/9/2000,2.5,47,11,74.425
GOUVERNUERS & WATERTOWN,1/10/2000,45.5,61,17,74.406
GOUVERNUERS & WATERTOWN,1/11/2000,100.5,72.5,17,74.526
GOUVERNUERS & WATERTOWN,1/12/2000,0,47.5,-16.5,74.443
GOUVERNUERS & WATERTOWN,1/13/2000,1.5,0,-139,74.363
GOUVERNUERS & WATERTOWN,1/14/2000,0,-114,-186,74.416
GOUVERNUERS & WATERTOWN,1/15/2000,0,-72.5,-183,74.393
GOUVERNUERS & WATERTOWN,1/16/2000,29,11,-188.5,74.488
GOUVERNUERS & WATERTOWN,1/17/2000,6.5,-75,-250,74.378
GOUVERNUERS & WATERTOWN,1/18/2000,0,-164,-247.5,74.386
GOUVERNUERS & WATERTOWN,1/19/2000,0,-106,-216.5,74.397
GOUVERNUERS & WATERTOWN,1/20/2000,52,-64,-180.5,74.372
GOUVERNUERS & WATERTOWN,1/21/2000,1.5,-113.5,-261,74.403
GOUVERNUERS & WATERTOWN,1/22/2000,0,-169.5,-286,74.398
GOUVERNUERS & WATERTOWN,1/23/2000,0,-100,-289,74.41
GOUVERNUERS & WATERTOWN,1/24/2000,6.5,-22,-161,74.426
GOUVERNUERS & WATERTOWN,1/25/2000,28,-41.5,-153,74.37
GOUVERNUERS & WATERTOWN,1/26/2000,39.5,-44.5,-142,74.391
GOUVERNUERS & WATERTOWN,1/27/2000,4,-105.5,-244.5,74.403
GOUVERNUERS & WATERTOWN,1/28/2000,0,-116.5,-294.5,74.408
GOUVERNUERS & WATERTOWN,1/29/2000,0,-66.5,-280.5,74.391
GOUVERNUERS & WATERTOWN,1/30/2000,12.5,-3,-233,74.378
GOUVERNUERS & WATERTOWN,1/31/2000,76.5,25,-58.5,74.439
GOUVERNUERS & WATERTOWN,2/1/2000,44.5,-6,-97,74.449
GOUVERNUERS & WATERTOWN,2/2/2000,6.5,-55.5,-205.5,74.418
GOUVERNUERS & WATERTOWN,2/3/2000,1.5,-69.5,-250,74.356
