Date,Hour,Site,WL,AWL
6/15/2012,12:00,BF,75.0076,74.970385
6/17/2012,4:00,BF,74.9374,74.9073858
6/17/2012,6:00,BF,74.9371,74.90711658
6/17/2012,8:00,BF,74.9401,74.90980885
6/17/2012,10:00,BF,74.9398,74.90953962
6/17/2012,12:00,BF,74.9261,74.89724491
6/17/2012,14:00,BF,74.9069,74.88001436
6/17/2012,16:00,BF,74.8924,74.86700171
6/17/2012,18:00,BF,74.8838,74.85928386
6/17/2012,20:00,BF,74.8818,74.85748901
6/17/2012,22:00,BF,74.8873,74.86242484
6/18/2012,0:00,BF,74.8892,74.86412995
6/18/2012,2:00,BF,74.8879,74.8629633
6/18/2012,4:00,BF,74.8839,74.8593736
6/18/2012,6:00,BF,74.8906,74.86538634
6/18/2012,8:00,BF,74.898,74.87202728
6/18/2012,10:00,BF,74.8966,74.87077089
6/18/2012,12:00,BF,74.8978,74.8718478
6/18/2012,14:00,BF,74.8966,74.87077089
6/18/2012,16:00,BF,74.8884,74.86341201
6/18/2012,18:00,BF,74.8864,74.86161716
6/18/2012,20:00,BF,74.8912,74.8659248
6/18/2012,22:00,BF,74.9001,74.87391187
6/19/2012,0:00,BF,74.9046,74.87795028
6/19/2012,2:00,BF,74.9,74.87382213
6/19/2012,4:00,BF,74.9051,74.87839899
6/19/2012,6:00,BF,74.9035,74.87696312
6/19/2012,8:00,BF,74.8971,74.8712196
6/19/2012,10:00,BF,74.8961,74.87032218
6/19/2012,12:00,BF,74.8985,74.87247599
6/19/2012,14:00,BF,74.8903,74.86511711
6/19/2012,16:00,BF,74.888,74.86305304
6/19/2012,18:00,BF,74.8912,74.8659248
6/19/2012,20:00,BF,74.8837,74.85919411
6/19/2012,22:00,BF,74.9011,74.8748093
6/20/2012,0:00,BF,74.904,74.87741183
6/20/2012,2:00,BF,74.9042,74.87759131
6/20/2012,4:00,BF,74.9093,74.88216818
6/20/2012,6:00,BF,74.9128,74.88530916
6/20/2012,8:00,BF,74.9169,74.8889886
6/20/2012,10:00,BF,74.9156,74.88782195
6/20/2012,12:00,BF,74.914,74.88638607
6/20/2012,14:00,BF,74.9047,74.87804003
6/20/2012,16:00,BF,74.8911,74.86583505
6/20/2012,18:00,BF,74.8906,74.86538634
6/20/2012,20:00,BF,74.8693,74.8462712
6/20/2012,22:00,BF,74.8731,74.84968141
6/21/2012,0:00,BF,74.8752,74.85156601
6/21/2012,2:00,BF,74.8773,74.8534506
6/21/2012,4:00,BF,74.8711,74.84788657
6/21/2012,6:00,BF,74.8683,74.84537378
6/21/2012,8:00,BF,74.8739,74.85039935
6/21/2012,10:00,BF,74.862,74.83972
6/21/2012,12:00,BF,74.8108,74.79377187
6/21/2012,14:00,BF,74.7307,74.72188818
6/21/2012,16:00,BF,74.7227,74.71470879
6/21/2012,18:00,BF,74.7097,74.70304227
6/21/2012,20:00,BF,74.7139,74.70681145
6/21/2012,22:00,BF,74.7184,74.71084986
6/22/2012,0:00,BF,74.719,74.71138832
6/22/2012,2:00,BF,74.7215,74.71363188
6/22/2012,4:00,BF,74.7229,74.71488827
6/22/2012,6:00,BF,74.7311,74.72224715
6/22/2012,8:00,BF,74.7359,74.72655479
6/22/2012,10:00,BF,74.6111,74.61455622
6/22/2012,12:00,BF,74.6452,74.6451584
6/22/2012,14:00,BF,74.6428,74.64300458
6/22/2012,16:00,BF,74.6282,74.62990218
6/22/2012,18:00,BF,74.6234,74.62559454
6/22/2012,20:00,BF,74.6338,74.63492776
6/22/2012,22:00,BF,74.6425,74.64273535
6/23/2012,0:00,BF,74.6455,74.64542762
6/23/2012,2:00,BF,74.6494,74.64892758
6/23/2012,4:00,BF,74.6502,74.64964552
6/23/2012,6:00,BF,74.6555,74.65440187
6/23/2012,8:00,BF,74.6612,74.65951719
6/23/2012,10:00,BF,74.6635,74.66158126
