Date,Hour,Site,WL,AWL
3/9/2012,16:00,CB,75.45326531,75.50127248
3/9/2012,18:00,CB,75.46346939,75.51472369
3/9/2012,20:00,CB,75.45326531,75.50127248
3/9/2012,22:00,CB,75.45326531,75.50127248
3/10/2012,0:00,CB,75.45326531,75.50127248
3/10/2012,2:00,CB,75.44306122,75.48782128
3/10/2012,4:00,CB,75.44306122,75.48782128
3/10/2012,6:00,CB,75.44306122,75.48782128
3/10/2012,8:00,CB,75.43285714,75.47437008
3/10/2012,10:00,CB,75.43285714,75.47437008
3/10/2012,12:00,CB,75.43285714,75.47437008
3/10/2012,14:00,CB,75.43285714,75.47437008
3/10/2012,16:00,CB,75.43285714,75.47437008
3/10/2012,18:00,CB,75.42265306,75.46091888
3/10/2012,20:00,CB,75.42265306,75.46091888
3/10/2012,22:00,CB,75.42265306,75.46091888
3/11/2012,0:00,CB,75.42265306,75.46091888
3/11/2012,2:00,CB,75.42265306,75.46091888
3/11/2012,4:00,CB,75.42265306,75.46091888
3/11/2012,6:00,CB,75.41244898,75.44746768
3/11/2012,8:00,CB,75.41244898,75.44746768
3/11/2012,10:00,CB,75.41244898,75.44746768
3/11/2012,12:00,CB,75.41244898,75.44746768
3/11/2012,14:00,CB,75.42265306,75.46091888
3/11/2012,16:00,CB,75.41244898,75.44746768
3/11/2012,18:00,CB,75.41244898,75.44746768
3/11/2012,20:00,CB,75.42265306,75.46091888
3/11/2012,22:00,CB,75.41244898,75.44746768
3/12/2012,0:00,CB,75.41244898,75.44746768
3/12/2012,2:00,CB,75.41244898,75.44746768
3/12/2012,4:00,CB,75.4022449,75.43401648
3/12/2012,6:00,CB,75.41244898,75.44746768
3/12/2012,8:00,CB,75.41244898,75.44746768
3/12/2012,10:00,CB,75.4022449,75.43401648
3/12/2012,12:00,CB,75.41244898,75.44746768
3/12/2012,14:00,CB,75.41244898,75.44746768
3/12/2012,16:00,CB,75.41244898,75.44746768
3/12/2012,18:00,CB,75.42265306,75.46091888
3/12/2012,20:00,CB,75.41244898,75.44746768
3/12/2012,22:00,CB,75.42265306,75.46091888
3/13/2012,0:00,CB,75.41244898,75.44746768
3/13/2012,2:00,CB,75.42265306,75.46091888
3/13/2012,4:00,CB,75.41244898,75.44746768
3/13/2012,6:00,CB,75.41244898,75.44746768
3/13/2012,8:00,CB,75.43285714,75.47437008
3/13/2012,10:00,CB,75.42265306,75.46091888
3/13/2012,12:00,CB,75.43285714,75.47437008
3/13/2012,14:00,CB,75.43285714,75.47437008
3/13/2012,16:00,CB,75.44306122,75.48782128
3/13/2012,18:00,CB,75.43285714,75.47437008
3/13/2012,20:00,CB,75.43285714,75.47437008
3/13/2012,22:00,CB,75.43285714,75.47437008
3/14/2012,0:00,CB,75.43285714,75.47437008
3/14/2012,2:00,CB,75.43285714,75.47437008
3/14/2012,4:00,CB,75.43285714,75.47437008
3/14/2012,6:00,CB,75.42265306,75.46091888
3/14/2012,8:00,CB,75.42265306,75.46091888
3/14/2012,10:00,CB,75.42265306,75.46091888
3/14/2012,12:00,CB,75.42265306,75.46091888
3/14/2012,14:00,CB,75.42265306,75.46091888
3/14/2012,16:00,CB,75.42265306,75.46091888
3/14/2012,18:00,CB,75.42265306,75.46091888
3/14/2012,20:00,CB,75.41244898,75.44746768
3/14/2012,22:00,CB,75.42265306,75.46091888
3/15/2012,0:00,CB,75.42265306,75.46091888
3/15/2012,2:00,CB,75.41244898,75.44746768
3/15/2012,4:00,CB,75.41244898,75.44746768
3/15/2012,6:00,CB,75.41244898,75.44746768
3/15/2012,8:00,CB,75.41244898,75.44746768
3/15/2012,10:00,CB,75.42265306,75.46091888
3/15/2012,12:00,CB,75.42265306,75.46091888
3/15/2012,14:00,CB,75.42265306,75.46091888
3/15/2012,16:00,CB,75.42265306,75.46091888
3/15/2012,18:00,CB,75.42265306,75.46091888
3/15/2012,20:00,CB,75.42265306,75.46091888
3/15/2012,22:00,CB,75.42265306,75.46091888
3/16/2012,0:00,CB,75.41244898,75.44746768
3/16/2012,2:00,CB,75.42265306,75.46091888
3/16/2012,4:00,CB,75.43285714,75.47437008
3/16/2012,6:00,CB,75.44306122,75.48782128
3/16/2012,8:00,CB,75.45326531,75.50127248
3/16/2012,10:00,CB,75.45326531,75.50127248
3/16/2012,12:00,CB,75.45326531,75.50127248
