"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1933-01-01",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
" 1933-01-02",-3,0,0,0,.4407,2.4564,0,9297.8405,18.1973,1.95715786722305,11.7093,1.25935668331763,.1582,1.70182508013598E-02,0,.7013355565570635670215737175,0,.0090986708295873172717529425,0,10.998863331533363061759747229,0,0,0,0,.0215820472077811165685979796,0,.1366509341271748893197870279,0,211
" 1933-01-03",-2,0,0,0,.4142,2.309,0,8739.9701,17.1055,1.95715786722304,11.0067,1.25935668331763,.1487,1.70182508013598E-02,0,.6592554231636397530002792952,0,.0085527505798120782354477659,0,10.338931531641361278054162407,0,0,0,0,.0202871243753142495744821008,0,.1284518780795443959605998064,0,211
" 1933-01-04",-5,0,0,0,.3894,2.1705,0,8215.5719,16.0792,1.95715786722304,10.3463,1.25935668331763,.1398,1.70182508013598E-02,0,.6197000977738213678202625377,0,.0080395855450233535413209,0,9.718595639742879601370912666,0,0,0,0,.0190698969127953946000131748,0,.120744765394771732202963818,0,211
" 1933-01-05",-2,0,0,0,.366,2.0402,0,7722.6375,15.1144,1.95715786722305,9.7256,1.25935668331763,.1314,1.70182508013598E-02,0,.5825180919073920857510467852,0,.007557210412321952328841646,0,9.135479901358306825288657902,0,0,0,0,.0179257030980276709240123843,0,.1135000794710854282707859889,0,211
" 1933-01-06",-1,.2,0,0,.3441,1.9178,0,7259.2793,14.2076,1.95715786722305,9.142,1.25935668331763,.1235,1.70182508013598E-02,0,.5475670063929485606059839778,0,.0071037777875826351891111472,0,8.587351107276808415771338423,0,0,0,0,.0168501609121460106685716412,0,.1066900747028203025745388295,0,211
" 1933-01-07",-4,0,0,0,.3234,1.8028,0,6823.7225,13.3551,1.95715786722305,8.5935,1.25935668331763,.1161,1.70182508013598E-02,0,.5147129860093716469696249396,0,.0066775511203276770777644784,0,8.072110040840199910825058125,0,0,0,0,.0158391512574172500284573427,0,.1002886702206510844200664998,0,211
" 1933-01-08",-3,0,0,0,.304,1.6946,0,6414.2992,12.5538,1.95715786722305,8.0779,1.25935668331763,.1092,1.70182508013598E-02,0,.4838302068488093481514474424,0,.0062768980531080164530986097,0,7.5877834383897879161755546255,0,0,0,0,.0148888021819722150267499022,0,.0942713500074120193548625097,0,211
" 1933-01-09",-1,0,0,0,.2858,1.5929,0,6029.4412,11.8006,1.95715786722304,7.5932,1.25935668331763,.1026,1.70182508013598E-02,0,.4548003944378807872623605967,0,.0059002841699215354659126931,0,7.1325164320864006412050213602,0,0,0,0,.0139954740510538821251449081,0,.0886150690069672981935707593,0,211
" 1933-01-10",-5,0,0,0,.2686,1.4973,0,5667.6748,11.0925,1.95715786722304,7.1376,1.25935668331763,.0965,1.70182508013598E-02,0,.4275123707716079400266189603,0,.0055462671197262433379579315,0,6.7045654461612166027327200701,0,0,0,0,.0131557456079906491976362136,0,.0832981648665492603019565136,0,211
" 1933-01-11",-13,0,0,0,.2525,1.4075,0,5327.6143,10.427,1.95715786722304,6.7094,1.25935668331763,.0907,1.70182508013598E-02,0,.4018616285253114636250218229,0,.0052134910925426687376804556,0,6.3022915193915436065687568684,0,0,0,0,.0123664008715112102457780408,0,.0783002749745563046838391228,0,211
" 1933-01-12",-9,.08,0,0,.2374,1.3231,0,5007.9574,9.8014,1.95715786722304,6.3068,1.25935668331763,.0852,1.70182508013598E-02,0,.3777499308137927758075205136,0,.0049006816269901086134196283,0,5.9241540282280509901746314585,0,0,0,0,.0116244168192205376310313583,0,.0736022584760829264028087755,0,211
" 1933-01-13",-11,0,0,0,.2231,1.2437,0,4707.48,9.2133,1.95715786722304,5.9284,1.25935668331763,.0801,1.70182508013598E-02,0,.3550849349649652092590692826,0,.0046066407293707020966144506,0,5.5687047865343679307641535675,0,0,0,0,.0109269518100673053731694768,0,.0691861229675179508186402489,0,211
" 1933-01-14",-7,0,0,0,.2097,1.1691,0,4425.0312,8.6605,1.95715786722304,5.5727,1.25935668331763,.0753,1.70182508013598E-02,0,.3337798388670672967035251255,0,.0043302422856084599708175836,0,5.2345824993423058549183043516,0,0,0,0,.0102713347014632670507793082,0,.0650349555894668737695218339,0,211
" 1933-01-15",-2,0,0,0,.1971,1.0989,0,4159.5293,8.1409,1.95715786722305,5.2383,1.25935668331763,.0708,1.70182508013598E-02,0,.3137530485350432589013136178,0,.0040704277484719523725685285,0,4.9205075493817675036232060871,0,0,0,0,.0096550546193754710277325497,0,.0611328582540988613433505239,0,211
" 1933-01-16",-15,0,0,0,.1853,1.033,0,3909.9575,7.6524,1.95715786722305,4.924,1.25935668331763,.0665,1.70182508013598E-02,0,.2949278656229406633672348008,0,.0038262020835636352302144168,0,4.625277096418861453405813724,0,0,0,0,.0090757513422129427660685967,0,.0574648867588529296627494925,0,211
" 1933-01-17",-16,0,0,0,.1742,.971,0,3675.3601,7.1933,1.95715786722305,4.6286,1.25935668331763,.0625,1.70182508013598E-02,0,.2772321936855642235652007134,0,.0035966299585498171164015518,0,4.3477604706337297662014649103,0,0,0,0,.0085312062616801662001044809,0,.054016993553321753882984523,0,211
" 1933-01-18",-7,0,0,0,.1637,.9127,0,3454.8385,6.7617,1.95715786722305,4.3509,1.25935668331763,.0588,1.70182508013598E-02,0,.2605982620644303701512886703,0,.0033808321610368280894174587,0,4.0868948423957059802293770107,0,0,0,0,.0080193338859793562280982121,0,.0507759739401224486500054516,0,211
" 1933-01-19",-9,0,0,0,.1539,.858,0,3247.5482,6.356,1.95715786722305,4.0898,1.25935668331763,.0553,1.70182508013598E-02,0,.2449623663405645479422113498,0,.0031779822313746184040524112,0,3.8416811518519636214156143856,0,0,0,0,.0075381738528205948544123193,0,.0477294155037151017310051244,0,211
" 1933-01-20",-2,0,0,0,.1447,.8065,0,3052.6953,5.9746,1.95715786722305,3.8444,1.25935668331763,.052,1.70182508013598E-02,0,.2302646243601306750656786692,0,.0029873032974921412998092665,0,3.6111802827408458041306775282,0,0,0,0,.0070858834216513591631475802,0,.044865650573492195627144817,0,211
" 1933-01-21",0,0,0,0,.136,.7581,0,2869.5336,5.6161,1.95715786722305,3.6138,1.25935668331763,.0488,1.70182508013598E-02,0,.2164487468985228345617379485,0,.0028080650996426128218207105,0,3.3945094657763950558828368683,0,0,0,0,.0066607304163522776133587254,0,.0421737115390826638895161279,0,211
" 1933-01-22",0,0,0,0,.1278,.7126,0,2697.3616,5.2792,1.95715786722305,3.3969,1.25935668331763,.0459,1.70182508013598E-02,0,.2034618220846114644880336721,0,.0026395811936640560525114679,0,3.1908388978298113525298666644,0,0,0,0,.0062610865913711409565572019,0,.0396432888467377040561451603,0,211
" 1933-01-23",-1,0,0,0,.1202,.6699,0,2535.5199,4.9624,1.95715786722305,3.1931,1.25935668331763,.0432,1.70182508013598E-02,0,.191254112759534776618751652,0,.0024812063220442126893607798,0,2.9993885639600226713780746686,0,0,0,0,.0058854213958888724991637697,0,.0372646915159334418127764508,0,211
" 1933-01-24",1,0,.012064867224755730808,7.41690511607833E-05,.113,.6301,0,2384.9535,5.3417,2.23975106145004,3.0015,1.2585310135681,.0406,1.70086075001106E-02,0,.1797788659939626900216265528,0,.0023338652805244692752460666,0,2.8194252501224213110953901866,0,0,0,0,.0055359284454040411208836699,0,.0350288100249774353040098637,0,211
" 1933-01-25",-4,0,0,0,.1223,.6815,0,2579.4412,5.0484,1.95715786722305,3.2484,1.25935668331763,.0439,1.70182508013598E-02,0,.1945670949774896148982259112,0,.0025241867960607108955383826,0,3.0513452033951725869931760013,0,0,0,0,.0059873710802560062442170435,0,.037910205793083046191031627,0,211
" 1933-01-26",-9,0,0,0,.1149,.6406,0,2424.6747,4.7455,1.95715786722305,3.0535,1.25935668331763,.0413,1.70182508013598E-02,0,.1828930692788402380043323563,0,.0023727355882970682418060797,0,2.8682644911914622317735854368,0,0,0,0,.0056281288154406458695640209,0,.0356355934454980634195697293,0,211
" 1933-01-27",-10,0,0,0,.108,.6021,0,2279.1942,4.4607,1.95715786722305,2.8703,1.25935668331763,.0388,1.70182508013598E-02,0,.1719194851221098237240724154,0,.0022303714529992441472977149,0,2.6961686217199744978671703181,0,0,0,0,.0052904410865142071173901797,0,.0334974578387681796143955456,0,211
" 1933-01-28",-5,0,0,0,.1015,.566,0,2142.4426,4.1931,1.95715786722305,2.6981,1.25935668331763,.0365,1.70182508013598E-02,0,.1616043160147832343006280695,0,.002096549165819289498459852,0,2.5343985044167760279951400846,0,0,0,0,.0049730146213233546903467689,0,.0314876103684420888375318127,0,211
" 1933-01-29",-5,0,0,0,.0955,.5321,0,2013.896,3.9415,1.95715786722305,2.5362,1.25935668331763,.0343,1.70182508013598E-02,0,.1519080570538962402425903854,0,.0019707562158701321285522609,0,2.3823345941517694663154316805,0,0,0,0,.0046746337440439534089259627,0,.029598353746335563507279904,0,211
" 1933-01-30",-3,0,0,0,.0897,.5001,0,1893.0623,3.705,1.95715786722305,2.384,1.25935668331763,.0322,1.70182508013598E-02,0,.1427935736306624658280349625,0,.0018525108429179242008391252,0,2.2393945185026632983365057828,0,0,0,0,.004394155719401316204390405,0,.0278224525215554296968431098,0,211
" 1933-01-31",-8,0,0,0,.0843,.4701,0,1779.4785,3.4827,1.95715786722305,2.241,1.25935668331763,.0303,1.70182508013598E-02,0,.134225959212822717878352865,0,.0017413601923428487487887777,0,2.1050308473925035004363154389,0,0,0,0,.0041305063762372372321269807,0,.0261531053702621039150325232,0,211
" 1933-02-01",-8,0,0,0,.0793,.4419,0,1672.7098,7.0221,4.19802166225947,2.1084,1.26047711521515,.0329,.019675915262273,0,.126172401660053354805651693,0,.0035110360057190960517476988,0,1.9787289965489532904101365112,0,0,0,0,.0083281774055656958347455415,0,.0245839190480463776801305712,0,211
" 1933-02-02",-13,0,0,0,.0745,.4154,0,1572.3472,6.6007,4.19802166225947,1.9819,1.26047711521515,.0309,.019675915262273,0,.1186020575604501535173125914,0,.0033003738453759502886428369,0,1.8600052567560160929855283204,0,0,0,0,.007828486761231754084660809,0,.0231088839051635950193227369,0,211
" 1933-02-03",-16,0,0,0,.0701,.3905,0,1478.0064,6.2047,4.19802166225947,1.863,1.26047711521515,.0291,.019675915262273,0,.1114859341068231443062738359,0,.0031023514146533932713242666,0,1.7484049413506551274063966206,0,0,0,0,.0073587775555578488395811605,0,.0217223508708537793181633727,0,211
" 1933-02-04",-21,0,0,0,.0658,.367,0,1389.326,5.8324,4.19802166225947,1.7512,1.26047711521515,.0273,.019675915262273,0,.1047967780604137556478974058,0,.0029162103297741896750448106,0,1.6435006448696158197620128241,0,0,0,0,.0069172509022243779092062908,0,.0204190098186025525590735703,0,211
" 1933-02-05",-16,0,0,0,.0619,.345,0,1305.9664,5.4825,4.19802166225947,1.6461,1.26047711521515,.0257,.019675915262273,0,.0985089713767889303090235614,0,.002741237709987738294542122,0,1.5448906061774388705762920544,0,0,0,0,.0065022158480909152346539134,0,.0191938692294863994055291561,0,211
" 1933-02-06",-18,0,0,0,.0582,.3243,0,1227.6085,5.1535,4.19802166225947,1.5474,1.26047711521515,.0242,.019675915262273,0,.0925984330941815944904821478,0,.0025767634473884739968695947,0,1.4521971698067925383417145315,0,0,0,0,.0061120828972054603205746786,0,.0180422370757172154411974067,0,211
" 1933-02-07",-29,0,0,0,.0547,.3049,0,1153.9519,4.8443,4.19802166225947,1.4545,1.26047711521515,.0227,.019675915262273,0,.0870425271085306988210532189,0,.002422157640545165557057419,0,1.3650653396183849860412116592,0,0,0,0,.0057453579233731327013401979,0,.0169597028511741825147255623,0,211
" 1933-02-08",-30,0,0,0,.0514,.2866,0,1084.7148,4.5537,4.19802166225947,1.3673,1.26047711521515,.0213,.019675915262273,0,.0818199754820188568917900257,0,.0022768281821124556236339739,0,1.2831614192412818868787389588,0,0,0,0,.005400636447970744739259786,0,.0159421206801037315638420286,0,211
