"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 2000-01-01",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
" 2000-01-02",3,.36,.013820118947344681308,0,.4407,2.4564,0,9297.8405,15.3863,1.65482412175686,11.0066,1.18377557575425,.1549,1.66596829792369E-02,0,0,0,.0076931453598528922713660017,0,10.998863331533363061759747232,0,0,0,0,.018248140793571060467680156,0,.1366509341271748893197870279,0,211
" 2000-01-03",6,.99,.01686860782009054232,0,.435,2.4248,0,9178.2035,15.1883,1.65482412175686,10.8649,1.18377557575425,.1529,1.66596829792369E-02,0,0,0,.007594156254611246399464473,0,10.857338949900665673454308259,0,0,0,0,.01801333863593787645952973,0,.1348926216207876716532534677,0,211
" 2000-01-04",4,1.04,.014778136578638848404,4.89946509794104E-04,.4678,2.6075,0,9869.7476,18.4751,1.87189435673985,11.6916,1.18458958273665,.1663,.016847792961903,0,0,0,.0081663481719063405130080778,.0202623635969757613677345837,11.663171436252290745247242046,0,0,0,0,.0193705778637618396968551605,.002008523866984665618015127,.1449043618061820694174594088,0,211
" 2000-01-05",-2,.36,0,0,.5007,2.7912,0,10565.0539,17.4833,1.65482412175686,12.5067,1.18377557575425,.176,1.66596829792369E-02,0,0,0,.00874165305410790612842302,0,12.497911158103039118192433509,0,0,0,0,.0207352010443439533366194034,0,.1552752482610518174254599511,0,211
" 2000-01-06",-6,0,0,0,.4707,2.6237,0,9931.1507,16.4343,1.65482412175686,11.7563,1.18377557575425,.1654,1.66596829792369E-02,0,0,0,.0082171538708614317607176388,0,11.748036488616856771100887505,0,0,0,0,.0194910889816833161364222392,0,.1459587333653887083799323541,0,211
" 2000-01-07",-2,.18,0,0,.4425,2.4663,0,9335.2817,15.4482,1.65482412175686,11.0509,1.18377557575425,.1555,1.66596829792369E-02,0,0,0,.0077241246386097458550745805,0,11.043154299299845364834834248,0,0,0,0,.0183216236427823171682369049,0,.1372012093634653858771364127,0,211
" 2000-01-08",0,0,0,0,.4159,2.3183,0,8775.1648,14.5214,1.65482412175686,10.3878,1.18377557575425,.1462,1.66596829792369E-02,0,0,0,.0072606771602931611037701056,0,10.380565041341854642944744193,0,0,0,0,.0172223262242153781381426906,0,.128969136801657462724508228,0,211
" 2000-01-09",3,.03,.013820118947344681308,5.54693611821584E-04,.3915,2.1823,0,8260.3581,16.095,1.94846190864594,9.7652,1.18217034048535,.1375,1.66458742751073E-02,0,0,0,.0068347199208168684925790892,.0005844912576050685539468706,9.757731138861343364368059533,0,0,0,0,.0162119556521776120643975996,.0000579381884707113609598404,.1212309885935580149610377342,0,211
" 2000-01-10",4,.46,.014778136578638848404,0,.4008,2.2343,0,8457.0511,13.9949,1.65482412175686,10.0113,1.18377557575425,.1409,1.66596829792369E-02,0,0,0,.006997466053377879785906805,0,10.004253031508967032266121836,0,0,0,0,.0165979894786123308521709415,0,.1242938002585158064893891317,0,211
" 2000-01-11",4,1.02,.014778136578638848404,0,.4035,2.2491,0,8513.2399,14.0879,1.65482412175686,10.0778,1.18377557575425,.1418,1.66596829792369E-02,0,0,0,.0070439573712914660754981779,0,10.070721508044315175690180515,0,0,0,0,.016708266884703357531081678,0,.1251196109932055393132738906,0,211
" 2000-01-12",2,0,.012916570232832806998,0,.4396,2.4504,0,9274.9684,15.3484,1.65482412175686,10.9795,1.18377557575425,.1545,1.66596829792369E-02,0,0,0,.0076742206952699524853819796,0,10.97180680398754209450879568,0,0,0,0,.0182032514891803272953260556,0,.1363147812310138794317255641,0,211
