Date,Hour,Site,WL,AWL
4/16/2013,18:00,DB,74.609,74.75418569
4/16/2013,19:00,DB,74.609,74.75418569
4/16/2013,20:00,DB,74.609,74.75418569
4/16/2013,21:00,DB,74.609,74.75418569
4/16/2013,22:00,DB,74.609,74.75418569
4/16/2013,23:00,DB,74.649,74.79223744
4/17/2013,0:00,DB,74.639,74.78272451
4/17/2013,1:00,DB,74.619,74.76369863
4/17/2013,2:00,DB,74.609,74.75418569
4/17/2013,3:00,DB,74.599,74.74467275
4/17/2013,4:00,DB,74.609,74.75418569
4/17/2013,5:00,DB,74.639,74.78272451
4/17/2013,6:00,DB,74.629,74.77321157
4/17/2013,7:00,DB,74.609,74.75418569
4/17/2013,8:00,DB,74.589,74.73515982
4/17/2013,9:00,DB,74.619,74.76369863
4/17/2013,10:00,DB,74.609,74.75418569
4/17/2013,11:00,DB,74.599,74.74467275
4/17/2013,12:00,DB,74.579,74.72564688
4/17/2013,13:00,DB,74.579,74.72564688
4/17/2013,14:00,DB,74.599,74.74467275
4/17/2013,15:00,DB,74.619,74.76369863
4/17/2013,16:00,DB,74.619,74.76369863
4/17/2013,17:00,DB,74.609,74.75418569
4/17/2013,18:00,DB,74.579,74.72564688
4/17/2013,19:00,DB,74.599,74.74467275
4/17/2013,20:00,DB,74.589,74.73515982
4/17/2013,21:00,DB,74.579,74.72564688
4/17/2013,22:00,DB,74.559,74.706621
4/17/2013,23:00,DB,74.559,74.706621
4/18/2013,0:00,DB,74.569,74.71613394
4/18/2013,1:00,DB,74.559,74.706621
4/18/2013,2:00,DB,74.539,74.68759513
4/18/2013,3:00,DB,74.549,74.69710807
4/18/2013,4:00,DB,74.589,74.73515982
4/18/2013,5:00,DB,74.569,74.71613394
4/18/2013,6:00,DB,74.549,74.69710807
4/18/2013,7:00,DB,74.529,74.67808219
4/18/2013,8:00,DB,74.529,74.67808219
4/18/2013,9:00,DB,74.529,74.67808219
4/18/2013,10:00,DB,74.559,74.706621
4/18/2013,11:00,DB,74.549,74.69710807
4/18/2013,12:00,DB,74.539,74.68759513
4/18/2013,13:00,DB,74.529,74.67808219
4/18/2013,14:00,DB,74.519,74.66856925
4/18/2013,15:00,DB,74.529,74.67808219
4/18/2013,16:00,DB,74.529,74.67808219
4/18/2013,17:00,DB,74.539,74.68759513
4/18/2013,18:00,DB,74.519,74.66856925
4/18/2013,19:00,DB,74.539,74.68759513
4/18/2013,20:00,DB,74.539,74.68759513
4/18/2013,21:00,DB,74.529,74.67808219
4/18/2013,22:00,DB,74.529,74.67808219
4/18/2013,23:00,DB,74.539,74.68759513
4/19/2013,0:00,DB,74.529,74.67808219
4/19/2013,1:00,DB,74.529,74.67808219
4/19/2013,2:00,DB,74.549,74.69710807
4/19/2013,3:00,DB,74.549,74.69710807
4/19/2013,4:00,DB,74.579,74.72564688
4/19/2013,5:00,DB,74.549,74.69710807
