"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1973-01-01",-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690
" 1973-01-02",-8,0,0,0,.3083,5.6189,0,21268.4167,101.4566,4.77029242500721,34.6289,1.62818443757885,.4921,2.31391120885424E-02,0,3.0888170145032017704725419875,0,.0507282836046519800315610626,0,31.489359830304961360465861887,0,0,0,0,.1485324143944209975324107914,0,.343599864219771426274374621,0,690
" 1973-01-03",-10,.2,0,0,.2898,5.2818,0,19992.3117,95.3692,4.77029242500721,32.5512,1.62818443757885,.4626,2.31391120885424E-02,0,2.9034879936330096642441894699,0,.0476845865883728612296673989,0,29.599998240486663678837910191,0,0,0,0,.1396204695307557376804661441,0,.3229838723665851406979121439,0,690
" 1973-01-04",-22,0,0,0,.2724,4.9649,0,18792.773,89.647,4.77029242500721,30.5981,1.62818443757885,.4348,2.31391120885424E-02,0,2.7292787140150290843895381037,0,.044823511393070489555887355,0,27.823998346057463858107635599,0,0,0,0,.1312432413589103934196381753,0,.3036048400245900322560374155,0,690
" 1973-01-05",-23,0,0,0,.256,4.667,0,17665.2066,84.2682,4.77029242500721,28.7622,1.62818443757885,.4088,2.31391120885424E-02,0,2.5655219911741273393261658133,0,.0421341007094862601825341136,0,26.154558445294016026621177421,0,0,0,0,.1233686468773757698144598848,0,.2853885496231146303206751701,0,690
" 1973-01-06",-22,0,0,0,.2407,4.387,0,16605.2942,79.2121,4.77029242500721,27.0365,1.62818443757885,.3842,2.31391120885424E-02,0,2.4115906717036796989665958664,0,.0396060546669170845715820668,0,24.585284938576375065023906795,0,0,0,0,.1159665280647332236255922917,0,.2682652366457277525014346601,0,690
" 1973-01-07",-19,.1,0,0,.2262,4.1237,0,15608.9766,74.4594,4.77029242500721,25.4143,1.62818443757885,.3612,2.31391120885424E-02,0,2.2668952314014589170286001162,0,.0372296913869020594972871429,0,23.110167842261792561122472405,0,0,0,0,.1090085363808492302080567543,0,.2521693224469840873513485807,0,690
" 1973-01-08",-24,.03,0,0,.2127,3.8763,0,14672.438,69.9918,4.77029242500721,23.8894,1.62818443757885,.3395,2.31391120885424E-02,0,2.1308815175173713820068841086,0,.0349959099036879359274499143,0,21.723557771726085007455124054,0,0,0,0,.1024680241979982763955733491,0,.2370391631001650421102676658,0,690
" 1973-01-09",-24,0,0,0,.1999,3.6437,0,13792.0917,65.7923,4.77029242500721,22.4561,1.62818443757885,.3191,2.31391120885424E-02,0,2.0030286264663290990864710611,0,.0328961553094666597718029194,0,20.420144305422519907007816602,0,0,0,0,.0963199427461183798118389481,0,.2228168133141551395836516057,0,690
" 1973-01-10",-17,0,0,0,.1879,3.4251,0,12964.5662,61.8448,4.77029242500721,21.1087,1.62818443757885,.3,2.31391120885424E-02,0,1.8828469088783493531412827987,0,.0309223859908986601854947443,0,19.194935647097168712587347618,0,0,0,0,.0905407461813512770231286113,0,.2094478045153058312086325095,0,690
