"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 2000-01-01",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690
" 2000-01-02",3,.36,.0153504260769514683816,0,.3083,5.6189,0,21268.4167,82.0251,3.85666025634831,31.5304,1.48249739331105,.4637,2.18015545936258E-02,0,0,0,.0410125287550964163617047675,0,31.48935983030496136046586188,0,0,0,0,.1200846841949223071070715593,0,.343599864219771426274374618,0,690
" 2000-01-03",6,.99,.018736475304587493264,0,.3104,5.6587,0,21419.0623,82.606,3.85666025634831,31.7537,1.48249739331105,.467,2.18015545936258E-02,0,0,0,.0413030231100035742112826247,0,31.712400972804790727697377569,0,0,0,0,.1209352516660904652906355251,0,.3460336039557126336897721105,0,690
" 2000-01-04",4,1.04,.0164145253720174332408,1.01880471340954E-03,.3511,6.4,0,24224.9641,106.3777,4.39124185054543,35.9489,1.48396027668758,.541,2.23313186355334E-02,0,0,0,.0467137281328503544900544386,.1395114401277903637801666134,35.762659264079959735708008829,0,0,0,0,.1367777959729858379468793963,.01396912127247064131253953,.3902284750625500498623024297,0,690
" 2000-01-05",-2,.36,0,0,.3904,7.1169,0,26938.6022,103.893,3.85666025634831,39.9364,1.48249739331105,.5873,2.18015545936258E-02,0,0,0,.0519465182863006983159673721,0,39.88446106351273230861102723,0,0,0,0,.1520994055422884446691524654,0,.4352040015977998582644624163,0,690
" 2000-01-06",-6,0,0,0,.367,6.6899,0,25322.2861,97.6595,3.85666025634831,37.5402,1.48249739331105,.5521,2.18015545936258E-02,0,0,0,.0488297271891226564170093297,0,37.491393399701968370094365566,0,0,0,0,.1429734412097511379890033175,0,.409091761501931866768594671,0,690
" 2000-01-07",-2,.18,0,0,.345,6.2885,0,23802.9489,91.7999,3.85666025634831,35.2878,1.48249739331105,.5189,2.18015545936258E-02,0,0,0,.0458999435577752970319887699,0,35.241909795719850267888703632,0,0,0,0,.1343950347371660697096631183,0,.3845462558118159547624789908,0,690
" 2000-01-08",0,0,0,0,.3243,5.9112,0,22374.772,86.2919,3.85666025634831,33.1705,1.48249739331105,.4878,2.18015545936258E-02,0,0,0,.0431459469443087792100694438,0,33.127395207976659251815381457,0,0,0,0,.1263313326529361055270833314,0,.3614734804631069974767302518,0,690
" 2000-01-09",3,.03,.0153504260769514683816,1.1534411510748E-03,.306,5.5776,0,21111.8676,96.0829,4.55113264953007,31.1845,1.47710695676608,.4594,.021759742902373,0,0,0,.0407106503708343137543794558,.004024368465224711804032953,31.139751495498059696706458502,0,0,0,0,.1192007842858028706728230466,.0004029554213212674752734772,.3397850716353205776281264359,0,690
" 2000-01-10",4,.46,.0164145253720174332408,0,.3198,5.8284,0,22061.4713,85.0836,3.85666025634831,32.7061,1.48249739331105,.481,2.18015545936258E-02,0,0,0,.0425417997856427078697312438,0,32.663531899686306045203538366,0,0,0,0,.124562389772361848642573082,0,.356411981258168864776698819,0,690
" 2000-01-11",4,1.02,.0164145253720174332408,0,.3272,5.9639,0,22574.0999,87.0606,3.85666025634831,33.466,1.48249739331105,.4922,2.18015545936258E-02,0,0,0,.0435303169169107096384308649,0,33.422513912982689849336824951,0,0,0,0,.1274567679327145578213255724,0,.3646937030244814643819950219,0,690
" 2000-01-12",2,0,.0143468270629426976196,0,.3678,6.7036,0,25374.2104,97.8597,3.85666025634831,37.6172,1.48249739331105,.5532,2.18015545936258E-02,0,0,0,.0489298543988733953236277351,0,37.568270925481298353222114322,0,0,0,0,.1432666136799013015075820082,0,.4099306196928153852909734523,0,690
" 2000-01-13",-7,.03,0,0,.3457,6.3014,0,23851.7578,91.9881,3.85666025634831,35.3602,1.48249739331105,.52,2.18015545936258E-02,0,0,0,.0459940631349409916042100709,0,35.314174669952420452028787495,0,0,0,0,.1346706168591072234171270876,0,.3853347825112464621735150455,0,690
