"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1973-01-01",-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
" 1973-01-02",-8,0,0,0,.5227,3.687,0,13955.737,6.9588,.498631566819233,19.8846,1.42483310791613,.2287,1.63874812904741E-02,0,.5217802766868322626252456631,0,.0034793855129920705977868555,0,19.359336516654142311008686054,0,0,0,0,.0096239803289360672734784422,0,.2190753992960806287931791727,0,267
" 1973-01-03",-10,.2,0,0,.4914,3.4658,0,13118.3928,6.5412,.498631566819233,18.6915,1.42483310791613,.215,1.63874812904741E-02,0,.4904734600856223268677309237,0,.0032706223822125463619196441,0,18.197776325654893772348164904,0,0,0,0,.0090465415091999032370697357,0,.2059308753383157910655884225,0,267
" 1973-01-04",-22,0,0,0,.4619,3.2578,0,12331.2892,6.1488,.498631566819233,17.57,1.42483310791613,.2021,1.63874812904742E-02,0,.4610450524804849872556670677,0,.0030743850392797935802044655,0,17.105909746115600146007274988,0,0,0,0,.0085037490186479090428455516,0,.1935750228180168436016531169,0,267
" 1973-01-05",-23,0,0,0,.4342,3.0623,0,11591.4119,5.7798,.498631566819233,16.5158,1.42483310791613,.19,1.63874812904741E-02,0,.4333823493316558880203270438,0,.0028899219369230059653921976,0,16.079555161348664137246838494,0,0,0,0,.0079935240775290345002748185,0,.18196052144893583298555393,0,267
" 1973-01-06",-22,0,0,0,.4081,2.8786,0,10895.9272,5.4331,.498631566819233,15.5249,1.42483310791613,.1786,1.63874812904742E-02,0,.4073794083717565347391074214,0,.0027165266207076256074686657,0,15.114781851667744289012028193,0,0,0,0,.0075139126328772924302583294,0,.1710428901619996830064206943,0,267
" 1973-01-07",-19,.1,0,0,.3836,2.7059,0,10242.1715,5.1071,.498631566819233,14.5934,1.42483310791613,.1678,1.63874812904742E-02,0,.3829366438694511426547609762,0,.0025535350234651680710205458,0,14.207894940567679631671306505,0,0,0,0,.0070630778749046548844428296,0,.1607803167522797020260354527,0,267
" 1973-01-08",-24,.03,0,0,.3606,2.5435,0,9627.6413,4.8006,.498631566819233,13.7178,1.42483310791613,.1578,1.63874812904741E-02,0,.3599604452372840740954753173,0,.002400322922057257986759313,0,13.355421244133618853771028103,0,0,0,0,.0066392932024103755913762598,0,.1511334977471429199044733254,0,267
" 1973-01-09",-24,0,0,0,.339,2.3909,0,9049.9828,4.5126,.498631566819233,12.8947,1.42483310791613,.1483,1.63874812904741E-02,0,.3383628185230470296497467983,0,.0022563035467338225075537542,0,12.554095969485601722544766416,0,0,0,0,.0062409356102657530558936842,0,.1420654878823143447102049258,0,267
" 1973-01-10",-17,0,0,0,.3186,2.2475,0,8506.9838,4.2419,.498631566819233,12.121,1.42483310791613,.1394,1.63874812904741E-02,0,.3180610494116642078707619908,0,.002120925333929793157100529,0,11.800850211316465619192080448,0,0,0,0,.0058664794736498078725400632,0,.1335415586093754840275926305,0,267
" 1973-01-11",-15,0,0,0,.2995,2.1126,0,7996.5648,3.9873,.498631566819233,11.3938,1.42483310791613,.131,1.63874812904741E-02,0,.2989773864469643553985162713,0,.0019936698138940055676744973,0,11.09279919863747768204055562,0,0,0,0,.0055144907052308194001876594,0,.1255290650928129549859370726,0,267
" 1973-01-12",-10,0,0,0,.2815,1.9859,0,7516.7709,3.7481,.498631566819233,10.7101,1.42483310791613,.1232,1.63874812904742E-02,0,.2810387432601464940746052949,0,.0018740496250603652336140274,0,10.427231246719229021118122275,0,0,0,0,.0051836212629169702361763998,0,.1179973211872441776867808482,0,267
" 1973-01-13",-5,0,0,0,.2647,1.8667,0,7065.7646,3.5232,.498631566819233,10.0675,1.42483310791613,.1158,1.63874812904742E-02,0,.264176418664537704430128977,0,.0017616066475567433195971858,0,9.801597371916075279851034933,0,0,0,0,.0048726039871419520220058158,0,.1109174819160095270255739972,0,267
" 1973-01-14",-1,0,0,0,.2488,1.7547,0,6641.8188,3.3118,.498631566819233,9.4635,1.42483310791613,.1088,1.63874812904742E-02,0,.2483258335446654421643212386,0,.0016559102487033387204213546,0,9.213501529601110763059972845,0,0,0,0,.0045802477479134349006854669,0,.1042624330010489554040395575,0,267
" 1973-01-15",-3,0,0,0,.2338,1.6494,0,6243.3096,3.1131,.498631566819233,8.8957,1.42483310791613,.1023,1.63874812904742E-02,0,.2334262835319855156344619645,0,.0015565556337811383971960733,0,8.660691437825044117276374481,0,0,0,0,.0043054328830386288066443389,0,.0980066870209860180797971841,0,267
" 1973-01-16",2,0,.0137946558294325650752,1.46142108246499E-04,.22,1.5515,0,5872.6128,4.2253,.719485808609158,8.3619,1.42388662402834,.0962,1.63770517287046E-02,0,.2194207065200663846963942465,0,.0014641350572365128678278212,0,8.141049951555541470239792007,0,0,0,0,.0040497975683161945924117534,0,.092126285799726856995009353,0,267
" 1973-01-17",-1,0,0,0,.2256,1.5912,0,6022.9541,3.0032,.498631566819233,8.5817,1.42483310791613,.0987,1.63874812904742E-02,0,.2251875817539526804062148396,0,.0015016175288102709326507428,0,8.355015260883188582548572803,0,0,0,0,.0041534740846892093997119547,0,.0945475741293211700939553118,0,267
" 1973-01-18",-2,0,0,0,.2121,1.4957,0,5661.5769,2.823,.498631566819233,8.0668,1.42483310791613,.0928,1.63874812904742E-02,0,.2116763268487155195818419492,0,.0014115204770816546766916983,0,7.8537143452301972675956584335,0,0,0,0,.0039042656396078568357292374,0,.0888747196815618998883179931,0,267
" 1973-01-19",-8,0,0,0,.1993,1.406,0,5321.8823,2.6537,.498631566819233,7.5828,1.42483310791613,.0872,1.63874812904742E-02,0,.1989757472377925884069314323,0,.0013268292484567553960901964,0,7.3824914845163854315399189286,0,0,0,0,.0036700097012313854255854832,0,.0835422365006681858950189135,0,267
" 1973-01-20",-9,.38,0,0,.1874,1.3216,0,5002.5693,2.4944,.498631566819233,7.1278,1.42483310791613,.082,1.63874812904741E-02,0,.1870372024035250331025155468,0,.0012472194935493500723247846,0,6.9395419954454023056475238091,0,0,0,0,.0034498091191575023000503542,0,.0785297023106280947413177789,0,267
" 1973-01-21",-5,.05,0,0,.1761,1.2423,0,4702.4152,2.3448,.498631566819233,6.7002,1.42483310791613,.0771,1.63874812904742E-02,0,.1758149702593135311163646138,0,.0011723863239363890679852975,0,6.5231694757186781673086723727,0,0,0,0,.0032428205720080521620473329,0,.073817920171990409056838712,0,267
" 1973-01-22",-7,.1,0,0,.1656,1.1678,0,4420.2703,2.2041,.498631566819233,6.2981,1.42483310791613,.0724,1.63874812904742E-02,0,.1652660720437547192493827368,0,.0011020431445002057239061797,0,6.1317793071755574772701520225,0,0,0,0,.0030482513376875690323244929,0,.0693888449616709845134283892,0,267
" 1973-01-23",-7,0,0,0,.1556,1.0977,0,4155.0541,2.0718,.498631566819233,5.9203,1.42483310791613,.0681,1.63874812904742E-02,0,.1553501077211294360944197723,0,.0010359205558301933804718089,0,5.7638725487450240286339428906,0,0,0,0,.0028653562574263148903850234,0,.0652255142639707254426226858,0,267
" 1973-01-24",-1,0,0,0,.1463,1.0319,0,3905.7508,1.9475,.498631566819233,5.565,1.42483310791613,.064,1.63874812904742E-02,0,.1460291012578616699287545861,0,.0009737653224803817776435004,0,5.4180401958203225869159063227,0,0,0,0,.002693434881980735996961922,0,.0613119834081324819160653247,0,267
" 1973-01-25",0,0,0,0,.1375,.9699,0,3671.4058,1.8307,.498631566819233,5.2311,1.42483310791613,.0602,1.63874812904742E-02,0,.1372673551823899697330293113,0,.0009153394031315588709848903,0,5.0929577840711032317009519562,0,0,0,0,.0025318287890618918371442067,0,.0576332644036445330011014053,0,267
" 1973-01-26",-2,0,0,0,.1293,.9118,0,3451.1214,1.7208,.498631566819233,4.9173,1.42483310791613,.0566,1.63874812904742E-02,0,.1290313138714465715490475526,0,.0008604190389436653387257969,0,4.7873803170268370377988948405,0,0,0,0,.0023799190617181783269155542,0,.054175268539425861021035321,0,267
" 1973-01-27",-8,0,0,0,.1215,.857,0,3244.0541,1.6176,.498631566819233,4.6222,1.42483310791613,.0532,1.63874812904742E-02,0,.1212894350391597772561046996,0,.0008087938966070454184022491,0,4.5001374980052268155309611534,0,0,0,0,.002237123918015087627300621,0,.0509247524270603093597732018,0,267
" 1973-01-28",-9,0,0,0,.1142,.8056,0,3049.4109,1.5205,.498631566819233,4.3449,1.42483310791613,.05,1.63874812904742E-02,0,.1140120689368101906207384171,0,.0007602662628106226932981141,0,4.2301292481249132065991034658,0,0,0,0,.0021028964829341823696625837,0,.0478692672814366907981868095,0,267
" 1973-01-29",-7,0,0,0,.1074,.7573,0,2866.4462,1.4293,.498631566819233,4.0842,1.42483310791613,.047,1.63874812904741E-02,0,.107171344800601579183494112,0,.0007146502870419853317002273,0,3.9763214932374184142031572573,0,0,0,0,.0019767226939581314274828287,0,.0449971112445504893502956009,0,267
" 1973-01-30",-5,0,0,0,.1009,.7119,0,2694.4595,1.3435,.498631566819233,3.8392,1.42483310791613,.0442,1.63874812904742E-02,0,.1007410641125654844324844658,0,.0006717712698194662117982137,0,3.7377422036431733093509678403,0,0,0,0,.001858119332320643541833859,0,.0422972845698774599892778651,0,267
" 1973-01-31",-3,0,0,0,.0949,.6691,0,2532.7919,1.2629,.498631566819233,3.6088,1.42483310791613,.0415,1.63874812904742E-02,0,.0946966002658115553665353979,0,.0006314649936302982390903208,0,3.5134776714245829107899097721,0,0,0,0,.0017466321723814049293238275,0,.0397594474956848123899211932,0,267
" 1973-02-01",-3,0,0,0,.0892,.629,0,2380.8244,2.4882,1.04510748330618,3.3929,1.42510634587437,.0408,1.71432574829756E-02,0,.0890148042498628620445432737,0,.0012441086849530939091055309,0,3.3026690111391079361425151718,0,0,0,0,.0034412046225802577525858985,0,.0373738806459437236465259217,0,267
" 1973-02-02",-2,0,0,0,.0838,.5913,0,2237.9749,2.3389,1.04510748330618,3.1894,1.42510634587437,.0384,1.71432574829756E-02,0,.0836739159948710903218706774,0,.001169462163855908274559199,0,3.1045088704707614599739642656,0,0,0,0,.0032347323452254422874307445,0,.0351314478071871002277343664,0,267
" 1973-02-03",0,0,0,0,.0788,.5558,0,2103.6964,2.1986,1.04510748330618,2.998,1.42510634587437,.0361,1.71432574829756E-02,0,.0786534810351788249025584367,0,.0010992944340245537780856471,0,2.9182383382425157723755264071,0,0,0,0,.0030406484045119157501848999,0,.0330235609387558742140703044,0,267
" 1973-02-04",-3,0,0,0,.0741,.5224,0,1977.4746,2.0667,1.04510748330618,2.8181,1.42510634587437,.0339,1.71432574829756E-02,0,.0739342721730680954084049305,0,.0010333367679830805514005083,0,2.7431440379479648260329948233,0,0,0,0,.0028582095002412008051738059,0,.0310421472824305217612260861,0,267
" 1973-02-05",-4,0,0,0,.0696,.4911,0,1858.8262,1.9427,1.04510748330618,2.649,1.42510634587437,.0319,1.71432574829756E-02,0,.0694982158426840096839006346,0,.0009713365619040957183164778,0,2.5785553956710869364710151335,0,0,0,0,.0026867169302267287568633775,0,.029179618445484690455552521,0,267
" 1973-02-06",-10,0,0,0,.0654,.4616,0,1747.2966,1.8261,1.04510748330618,2.4901,1.42510634587437,.03,1.71432574829756E-02,0,.0653283228921229691028665966,0,.0009130563681898499752174891,0,2.4238420719308217202827542268,0,0,0,0,.0025255139144131250314515749,0,.0274288413387556090282193697,0,267
" 1973-02-07",-11,0,0,0,.0615,.4339,0,1642.4588,1.7165,1.04510748330618,2.3407,1.42510634587437,.0282,1.71432574829756E-02,0,.0614086235185955909566946007,0,.0008582729860984589767044398,0,2.2784115476149724170657889713,0,0,0,0,.0023739830795483375295644804,0,.0257831108584302724865262075,0,267
" 1973-02-08",-11,0,0,0,.0578,.4079,0,1543.9113,1.6136,1.04510748330618,2.2002,1.42510634587437,.0265,1.71432574829756E-02,0,.0577241061074798554992929247,0,.0008067766069325514381021734,0,2.1417068547580740720418416343,0,0,0,0,.0022315440947754372777906116,0,.0242361242069244561373346351,0,267
" 1973-02-09",-10,0,0,0,.0544,.3834,0,1451.2766,1.5167,1.04510748330618,2.0682,1.42510634587437,.0249,1.71432574829756E-02,0,.0542606597410310641693353492,0,.000758370010516598351816043,0,2.0132044434725896277193311345,0,0,0,0,.0020976514490889110411231749,0,.022781956754508988769094557,0,267
