"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 2000-01-01",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
" 2000-01-02",3,.36,.0147596289853973663296,0,.5227,3.687,0,13955.737,17.5395,1.25679406924226,19.3681,1.38782396128511,.2433,1.74360200313252E-02,0,0,0,.0087697437713989424891751173,0,19.359336516654142311008686045,0,0,0,0,.0242571112716894749250583744,0,.2190753992960806287931791716,0,267
" 2000-01-03",6,.99,.0180153581798617849748,0,.5121,3.6119,0,13671.4296,17.1822,1.25679406924226,18.9735,1.38782396128511,.2384,1.74360200313252E-02,0,0,0,.0085910858450756725730875717,0,18.964946554162905723829602654,0,0,0,0,.0237629434474793103371602233,0,.2146123776198570599073944854,0,267
" 2000-01-04",4,1.04,.0157827739274375935508,8.26956005708129E-04,.5405,3.8123,0,14430.2338,18.8226,1.30438979073725,20.0499,1.38943366131708,.2707,1.87576499619673E-02,0,0,0,.0090679161072898406079250073,.053855126520780476190964377,19.986929492185618199809299085,0,0,0,0,.0250818559527636991215205702,.0194180096225769802610613857,.2261774082720440132841538676,0,267
" 2000-01-05",-2,.36,0,0,.5687,4.0112,0,15183.0672,19.082,1.25679406924226,21.0714,1.38782396128511,.2647,1.74360200313252E-02,0,0,0,.0095409944302885237048835416,0,21.061883527529110209444068939,0,0,0,0,.0263903905941780565677078761,0,.2383418739455044615959606844,0,267
" 2000-01-06",-6,0,0,0,.5346,3.7705,0,14272.0832,17.9371,1.25679406924226,19.8071,1.38782396128511,.2488,1.74360200313252E-02,0,0,0,.0089685347644712122825905291,0,19.798170515877363596877424796,0,0,0,0,.0248069671585273731736454036,0,.2240413615087741939002030432,0,267
" 2000-01-07",-2,.18,0,0,.5025,3.5443,0,13415.7582,16.8608,1.25679406924226,18.6187,1.38782396128511,.2339,1.74360200313252E-02,0,0,0,.0084304226786029395456350974,0,18.61028028492472178106477929,0,0,0,0,.0233185491290157307832266794,0,.2105988798182477422661908604,0,267
" 2000-01-08",0,0,0,0,.4723,3.3317,0,12610.8127,15.8492,1.25679406924226,17.5016,1.38782396128511,.2199,1.74360200313252E-02,0,0,0,.0079245973178867631728969915,0,17.493663467829238474200892534,0,0,0,0,.0219194361812747869362330786,0,.1979629470291528777302194088,0,267
" 2000-01-09",3,.03,.0147596289853973663296,5.97623345189661E-03,.45,3.1739,0,12013.7184,20.0623,1.66994523591142,16.4531,1.3695299050387,.2075,1.72741609089128E-02,0,0,0,.0075493849891145357480057814,.001553513265022509787964105,16.444043659759484165748838998,0,0,0,0,.0208815988798908058789839914,.0005601348929589499300800889,.1860851702074037050664062445,0,267
" 2000-01-10",4,.46,.0157827739274375935508,0,.4503,3.1763,0,12022.7363,15.1101,1.25679406924226,16.6854,1.38782396128511,.2096,1.74360200313252E-02,0,0,0,.0075550518650302489714821629,0,16.67788652308192550056534643,0,0,0,0,.0208972734586736686551196625,0,.1887313982230607491562279338,0,267
" 2000-01-11",4,1.02,.0157827739274375935508,0,.45,3.1737,0,12012.9589,15.0978,1.25679406924226,16.6719,1.38782396128511,.2095,1.74360200313252E-02,0,0,0,.0075489077750846157313159207,0,16.664323355451643520410753398,0,0,0,0,.0208802789058840471128198367,0,.1885779138119722002661103061,0,267
" 2000-01-12",2,0,.0137946558294325650752,0,.4832,3.4083,0,12900.8261,16.2137,1.25679406924226,17.9041,1.38782396128511,.2249,1.74360200313252E-02,0,0,0,.0081068408893176298151800208,0,17.895968793879174158265436004,0,0,0,0,.0224235218998525640687879376,0,.2025155410639489575893997366,0,267
" 2000-01-13",-7,.03,0,0,.4542,3.2038,0,12126.7766,15.2409,1.25679406924226,16.8298,1.38782396128511,.2114,1.74360200313252E-02,0,0,0,.0076204304359585720262692196,0,16.822210666246423708769509837,0,0,0,0,.0210781105858614102246606614,0,.1903646086001120201340357524,0,267
" 2000-01-14",-15,0,0,0,.427,3.0116,0,11399.17,14.3264,1.25679406924226,15.82,1.38782396128511,.1988,1.74360200313252E-02,0,0,0,.0071632046098010577046930664,0,15.812878026271638286243339236,0,0,0,0,.0198134239507097256111810217,0,.1789427320841052989259936071,0,267
" 2000-01-15",-13,0,0,0,.4013,2.8309,0,10715.2198,13.4668,1.25679406924226,14.8708,1.38782396128511,.1868,1.74360200313252E-02,0,0,0,.0067334123332129942424114824,0,14.864105344695339989068738867,0,0,0,0,.0186246185136671420745101604,0,.1682061681590589809904339905,0,267
" 2000-01-16",-9,.28,0,0,.3773,2.661,0,10072.3066,12.6588,1.25679406924226,13.9786,1.38782396128511,.1756,1.74360200313252E-02,0,0,0,.0063294075932202145878667935,0,13.972259024013619589724614559,0,0,0,0,.0175071414028471135500395507,0,.1581137980695154421310079514,0,267
