"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1973-01-01",-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
" 1973-01-02",-8,0,0,0,.5181,.6843,0,2590.3208,3.7569,1.45036895731977,3.5946,1.38768816227585,.0449,.017345766193979,0,.2457531062380833106468300302,0,.0018784604682003993558221441,0,3.3469260000000000000000000013,0,0,0,0,.0054757122648041753474782353,0,.0394553873999999999999999999,0,50
" 1973-01-03",-10,.2,0,0,.487,.6433,0,2434.8316,3.5314,1.45036895731977,3.3788,1.38768816227585,.0422,.017345766193979,0,.2310012791699412705751905512,0,.0017657020807056446367214518,0,3.1460199999999999999999999975,0,0,0,0,.0051470215652569646674809894,0,.0370869979999999999999999998,0,50
" 1973-01-04",-22,0,0,0,.4578,.6047,0,2288.8417,3.3197,1.45036895731977,3.1762,1.38768816227585,.0397,.017345766193979,0,.2171506891252548535304357998,0,.0016598324692957784695915414,0,2.9573880000000000000000000017,0,0,0,0,.0048384116479972041576443469,0,.0348633011999999999999999999,0,50
" 1973-01-05",-23,0,0,0,.4303,.5684,0,2151.3512,3.1203,1.45036895731977,2.9854,1.38768816227585,.0373,.017345766193979,0,.2041064690489234676149989617,0,.0015601264996460757436986462,0,2.7797380000000000000000000022,0,0,0,0,.0045477687464683201158461391,0,.0327690661999999999999999999,0,50
" 1973-01-06",-22,0,0,0,.4045,.5343,0,2022.3601,2.9332,1.45036895731977,2.8064,1.38768816227585,.0351,.017345766193979,0,.191868618940947112828880037,0,.0014665841717565364590427665,0,2.613069999999999999999999999,0,0,0,0,.0042750928606703125420863659,0,.0308042929999999999999999999,0,50
" 1973-01-07",-19,.1,0,0,.3802,.5022,0,1900.8685,2.757,1.45036895731977,2.6378,1.38768816227585,.033,.017345766193979,0,.1803422717462251972745122128,0,.0013784803513024355048901355,0,2.4560919999999999999999999997,0,0,0,0,.0040182702240466077342428586,0,.0289537507999999999999999999,0,50
" 1973-01-08",-24,.03,0,0,.3574,.4721,0,1786.8764,2.5916,1.45036895731977,2.4796,1.38768816227585,.031,.017345766193979,0,.1695274274647577209518954888,0,.0012958150382837728812407533,0,2.3088039999999999999999999994,0,0,0,0,.0037773008365972056923156172,0,.0272174395999999999999999999,0,50
" 1973-01-09",-24,0,0,0,.336,.4438,0,1679.8838,2.4365,1.45036895731977,2.3312,1.38768816227585,.0291,.017345766193979,0,.1593766525689943879122464584,0,.0012182256655381860327277368,0,2.1705599999999999999999999994,0,0,0,0,.0035511278150438195652435574,0,.0255877439999999999999999999,0,50
" 1973-01-10",-17,0,0,0,.3158,.4171,0,1578.8908,2.29,1.45036895731977,2.191,1.38768816227585,.0274,.017345766193979,0,.1497950800038346062579983081,0,.0011449870987409498486173193,0,2.0400679999999999999999999976,0,0,0,0,.0033376373928298756509045102,0,.0240494331999999999999999999,0,50
" 1973-01-11",-15,0,0,0,.2969,.3922,0,1484.3973,2.1529,1.45036895731977,2.0599,1.38768816227585,.0257,.017345766193979,0,.1408301432968286719379344448,0,.0010764619050544268842763841,0,1.9179739999999999999999999976,0,0,0,0,.00313788645323366080035956,0,.0226101225999999999999999999,0,50
" 1973-01-12",-10,0,0,0,.2791,.3687,0,1395.4035,2.0238,1.45036895731977,1.9364,1.38768816227585,.0242,.017345766193979,0,.1323869753928759930544880554,0,.0010119249501538920289711647,0,1.802986000000000000000000002,0,0,0,0,.0029497612296986013114865383,0,.0212545813999999999999999999,0,50
" 1973-01-13",-5,0,0,0,.2623,.3465,0,1311.4093,1.902,1.45036895731977,1.8198,1.38768816227585,.0227,.017345766193979,0,.1244181427644262736588757321,0,.0009510136668769827273347779,0,1.6944579999999999999999999977,0,0,0,0,.0027722048389464103332243604,0,.0199751941999999999999999999,0,50
