"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 2000-01-01",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
" 2000-01-02",3,.36,.0147523950551643664768,0,.5181,.6843,0,2590.3208,3.2605,1.25872451700848,3.3486,1.29271872347272,.0442,1.70664444222253E-02,0,0,0,.0016302501743587531044509122,0,3.3469260000000000000000000022,0,0,0,0,.004752179258255765299474409,0,.0394553874000000000000000001,0,50
" 2000-01-03",6,.99,.0180065285646780592184,0,.5077,.6706,0,2538.4687,3.1952,1.25872451700849,3.2815,1.29271872347272,.0433,1.70664444222253E-02,0,0,0,.0015976163993527299682163761,0,3.2799284116766182915535923232,0,0,0,0,.0046570518041132078573507364,0,.0386655833224181407701195465,0,50
" 2000-01-04",4,1.04,.0157750385375041982264,1.5171520338201E-03,.5371,.7094,0,2685.3237,3.477,1.29480301798378,3.4789,1.2955408515402,.0498,1.85570146329863E-02,0,0,0,.0016900413859467565828952023,.0173791295104115812897650201,3.4598773765043519783073249381,0,0,0,0,.0049264706400347954391395146,.0041182007030591471039098547,.0407869197724941827486092916,0,50
" 2000-01-05",-2,.36,0,0,.5648,.746,0,2823.8704,3.5545,1.25872451700848,3.6505,1.29271872347272,.0482,1.70664444222253E-02,0,0,0,.0017772374661543844096882115,0,3.6486929289769542323763328076,0,0,0,0,.0051806472138400305542411365,0,.0430127803890574261009887383,0,50
" 2000-01-06",-6,0,0,0,.5309,.7013,0,2654.4382,3.3412,1.25872451700849,3.4314,1.29271872347272,.0453,1.70664444222253E-02,0,0,0,.0016706032181851213451069188,0,3.429771353238336978433752839,0,0,0,0,.0048698083810096287209866683,0,.040432013565713980534929414,0,50
" 2000-01-07",-2,.18,0,0,.4991,.6592,0,2495.1719,3.1407,1.25872451700848,3.2256,1.29271872347272,.0426,1.70664444222253E-02,0,0,0,.0015703670250940140644005037,0,3.2239850720440367597277276689,0,0,0,0,.0045776198781490509977274682,0,.0380060927517711417028336491,0,50
" 2000-01-08",0,0,0,0,.4691,.6196,0,2345.4616,2.9523,1.25872451700849,3.032,1.29271872347272,.04,1.70664444222253E-02,0,0,0,.0014761450035883732205364735,0,3.0305459677213945541440640045,0,0,0,0,.0043029626854601079378638201,0,.0357257271866648732006636301,0,50
" 2000-01-09",3,.03,.0147523950551643664768,6.51669675995705E-03,.4475,.5911,0,2237.3151,3.2323,1.44472598814628,2.8506,1.27412655486827,.0378,1.68977251078176E-02,0,0,0,.0014080817000709343713854016,.0005013210435695635707703541,2.8487132096581108808954201631,0,0,0,0,.0041045581557067736925884457,.0001187942510497827876157031,.0335821835554649808086238123,0,50
" 2000-01-10",4,.46,.0157750385375041982264,0,.4474,.591,0,2237.0628,2.8158,1.25872451700849,2.8919,1.29271872347272,.0382,1.70664444222253E-02,0,0,0,.0014079228691938789874849694,0,2.8904849887552425195952872757,0,0,0,0,.0041040951637001572485186858,0,.03407461204855522273022593,0,50
" 2000-01-11",4,1.02,.0157750385375041982264,0,.4473,.5908,0,2236.0973,2.8146,1.25872451700849,2.8906,1.29271872347272,.0382,1.70664444222253E-02,0,0,0,.001407315223837700117293768,0,2.8892374844927913411870173969,0,0,0,0,.0041023238774868958419113336,0,.0340599057885548036837083782,0,50
" 2000-01-12",2,0,.0137878948479771986816,0,.4807,.6349,0,2403.1781,3.0249,1.25872451700849,3.1066,1.29271872347272,.041,1.70664444222253E-02,0,0,0,.0015124695841213519374486664,0,3.105120830486087233483243715,0,0,0,0,.0044088488377137408976628624,0,.0366048563041544097799818796,0,50
" 2000-01-13",-7,.03,0,0,.4518,.5968,0,2258.9874,2.8434,1.25872451700848,2.9202,1.29271872347272,.0386,1.70664444222253E-02,0,0,0,.0014217214090740708212017464,0,2.9188135806569219994742490941,0,0,0,0,.0041443179074509164438030907,0,.0344085649259051451931829669,0,50
" 2000-01-14",-15,0,0,0,.4247,.561,0,2123.4482,2.6728,1.25872451700849,2.745,1.29271872347272,.0362,1.70664444222253E-02,0,0,0,.0013364181245296265719296416,0,2.7436847658175066795057941434,0,0,0,0,.0038956588330038614571749053,0,.0323440510303508364815919888,0,50
" 2000-01-15",-13,0,0,0,.3992,.5273,0,1996.0413,2.5125,1.25872451700849,2.5803,1.29271872347272,.0341,1.70664444222253E-02,0,0,0,.0012562330370578489776138631,0,2.5790636798684562787354464986,0,0,0,0,.0036619193030236297697444109,0,.0304034079685297862926964695,0,50
" 2000-01-16",-9,.28,0,0,.3753,.4957,0,1876.2788,2.3617,1.25872451700848,2.4255,1.29271872347272,.032,1.70664444222253E-02,0,0,0,.0011808590548343780389570313,0,2.4243198590763489020113197107,0,0,0,0,.0034422041448422119835597463,0,.0285792034904179991151346814,0,50
" 2000-01-17",-16,.08,0,0,.3528,.466,0,1763.7021,2.22,1.25872451700848,2.28,1.29271872347272,.0301,1.70664444222253E-02,0,0,0,.0011100075115443153566196094,0,2.2788606675317679678906405283,0,0,0,0,.0032356718961516792645461615,0,.0268644512809929191682266005,0,50
" 2000-01-18",-21,0,0,0,.3316,.438,0,1657.8799,2.0868,1.25872451700848,2.1432,1.29271872347272,.0283,1.70664444222253E-02,0,0,0,.0010434070608516564352224329,0,2.1421290274798618898172020929,0,0,0,0,.0030415315823825785086733918,0,.0252525842041333440181330044,0,50
" 2000-01-19",-16,0,0,0,.3117,.4117,0,1558.4071,1.9616,1.25872451700849,2.0146,1.29271872347272,.0266,1.70664444222253E-02,0,0,0,.0009808026372005570491090869,0,2.0136012858310701764281699709,0,0,0,0,.0028590396874396237981529883,0,.0237374291518853433770450242,0,50
" 2000-01-20",-12,.51,0,0,.293,.387,0,1464.9027,1.8439,1.25872451700849,1.8937,1.29271872347272,.025,1.70664444222253E-02,0,0,0,.0009219544789685236261625417,0,1.8927852086812059658424797704,0,0,0,0,.002687497306193246370263809,0,.0223131834027722227744223227,0,50
" 2000-01-21",-19,.03,0,0,.2754,.3638,0,1377.0085,1.7333,1.25872451700849,1.7801,1.29271872347272,.0235,1.70664444222253E-02,0,0,0,.0008666372102304122085927892,0,1.7792180961603336078919309875,0,0,0,0,.0025262474678216515880479805,0,.0209743923986058894079569834,0,50
" 2000-01-22",-23,0,0,0,.2589,.342,0,1294.388,1.6293,1.25872451700849,1.6733,1.29271872347272,.0221,1.70664444222253E-02,0,0,0,.0008146389776165874760772218,0,1.6724650103907135914184151226,0,0,0,0,.0023746726197523524927651016,0,.0197159288546895360434795643,0,50
" 2000-01-23",-19,0,0,0,.2434,.3214,0,1216.7248,1.5315,1.25872451700848,1.5729,1.29271872347272,.0208,1.70664444222253E-02,0,0,0,.0007657606389595922275125885,0,1.5721171097672707759333102173,0,0,0,0,.0022321922625672113431991955,0,.0185329731234081638808707905,0,50
" 2000-01-24",-9,.08,0,0,.2288,.3022,0,1143.7213,1.4396,1.25872451700848,1.4785,1.29271872347272,.0195,1.70664444222253E-02,0,0,0,.0007198150006220166938618332,0,1.4777900831812345293773116033,0,0,0,0,.0020982607268131786626072438,0,.017420994736003674048018543,0,50
" 2000-01-25",-10,.28,0,0,.215,.284,0,1075.098,1.3533,1.25872451700849,1.3898,1.29271872347272,.0183,1.70664444222253E-02,0,0,0,.0006766261005846956922301232,0,1.3891226781903604576146729111,0,0,0,0,.0019723650832043879428508092,0,.0163757350518434536051374305,0,50
" 2000-01-26",-9,.41,0,0,.2021,.267,0,1010.5921,1.2721,1.25872451700849,1.3064,1.29271872347272,.0172,1.70664444222253E-02,0,0,0,.0006360285345496139506963158,0,1.3057753174989388301577925315,0,0,0,0,.0018540231782121246662797606,0,.0153931909487328463888291846,0,50
" 2000-01-27",-18,.05,0,0,.19,.251,0,949.9566,1.1957,1.25872451700848,1.228,1.29271872347272,.0162,1.70664444222253E-02,0,0,0,.0005978668224766371136545369,0,1.2274287984490025003483249785,0,0,0,0,.001742781787519397186302975,0,.0144695994918088756054994335,0,50
" 2000-01-28",-21,0,0,0,.1786,.2359,0,892.9592,1.124,1.25872451700849,1.1543,1.29271872347272,.0152,1.70664444222253E-02,0,0,0,.0005619948131280388868352647,0,1.1537830705420623503274254824,0,0,0,0,.0016382148802682333551247965,0,.0136014235223003430691694676,0,50
" 2000-01-29",-17,0,0,0,.1679,.2218,0,839.3816,1.0566,1.25872451700849,1.0851,1.29271872347272,.0143,1.70664444222253E-02,0,0,0,.0005282751243403565536251488,0,1.0845560863095386093077799514,0,0,0,0,.0015399219874521393538173087,0,.0127853381109623224850192995,0,50
" 2000-01-30",-12,.13,0,0,.1578,.2085,0,789.0187,.9932,1.25872451700848,1.02,1.29271872347272,.0135,1.70664444222253E-02,0,0,0,.0004965786168799351604076399,0,1.0194827211309662927493131551,0,0,0,0,.0014475266682050109925882702,0,.0120182178243045831359181415,0,50
" 2000-01-31",-2,.76,0,0,.1483,.1959,0,741.6776,.9336,1.25872451700849,.9588,1.29271872347272,.0127,1.70664444222253E-02,0,0,0,.0004667838998671390507831815,0,.9583137578631083151843543689,0,0,0,0,.001360675068112710333032974,0,.0112971247548463081477630531,0,50
