"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1943-01-01",-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
" 1943-01-02",-16,.53,0,0,.5364,.7227,0,2735.4442,2.0582,.752420911564372,1.0045,.367201580187497,.0307,.011237169463557,0,0,0,.0010291027025314999810837285,0,1.0034303234958080643599999997,0,0,0,0,.001474704172727639472892983,0,.0292639456601367980453639999,0,51
" 1943-01-03",-21,.89,0,0,.5042,.6793,0,2571.3175,1.9347,.752420911564372,.9442,.367201580187497,.0289,.011237169463557,0,0,0,.0009673565403796099822187048,0,.9432245040860595804984000003,0,0,0,0,.001386221922363981104519404,0,.0275081089205285901626421599,0,51
" 1943-01-04",-23,0,0,0,.474,.6386,0,2417.0385,1.8186,.752420911564372,.8875,.367201580187497,.0272,.011237169463557,0,0,0,.0009093151479568333832855825,0,.886631033840896005668496,0,0,0,0,.0013030486070221422382482398,0,.0258576223852968747528836303,0,51
" 1943-01-05",-19,0,0,0,.4455,.6002,0,2272.0162,1.7095,.752420911564372,.8343,.367201580187497,.0255,.011237169463557,0,0,0,.0008547562390794233802884476,0,.8334331718104422453283862406,0,0,0,0,.0012248656906008137039533454,0,.0243061650421790622677106125,0,51
" 1943-01-06",-18,0,0,0,.4188,.5642,0,2135.6952,1.6069,.752420911564372,.7842,.367201580187497,.024,.011237169463557,0,0,0,.0008034708647346579774711407,0,.7834271815018157106086830659,0,0,0,0,.0011513737491647648817161447,0,.0228477951396483185316479758,0,51
" 1943-01-07",-18,0,0,0,.3937,.5304,0,2007.5535,1.5105,.752420911564372,.7372,.367201580187497,.0226,.011237169463557,0,0,0,.0007552626128505784988228723,0,.7364215506117067679721620817,0,0,0,0,.001082291324214878988813176,0,.0214769274312694194197490972,0,51
" 1943-01-08",-15,.08,0,0,.37,.4986,0,1887.1003,1.4199,.752420911564372,.6929,.367201580187497,.0212,.011237169463557,0,0,0,.0007099468560795437888934999,0,.6922362575750043618938323563,0,0,0,0,.0010173538447619862494843854,0,.0201883117853932542545641514,0,51
" 1943-01-09",-4,0,0,0,.3478,.4686,0,1773.8743,1.3347,.752420911564372,.6514,.367201580187497,.0199,.011237169463557,0,0,0,.0006673500447147711615598899,0,.6507020821205041001802024147,0,0,0,0,.0009563126140762670745153223,0,.0189770130782696589992903023,0,51
" 1943-01-10",-6,0,0,0,.327,.4405,0,1667.4418,1.2546,.752420911564372,.6123,.367201580187497,.0187,.011237169463557,0,0,0,.0006273090420318848918662965,0,.6116599571932738541693902704,0,0,0,0,.000898933857231691050044403,0,.0178383922935734794593328842,0,51
" 1943-01-11",-11,0,0,0,.3074,.4141,0,1567.3953,1.1793,.752420911564372,.5756,.367201580187497,.0176,.011237169463557,0,0,0,.0005896704995099717983543188,0,.5749603597616774229192268549,0,0,0,0,.0008449978257977895870417388,0,.0167680887559590706917729111,0,51
" 1943-01-12",-18,0,0,0,.2889,.3892,0,1473.3516,1.1086,.752420911564372,.541,.367201580187497,.0166,.011237169463557,0,0,0,.0005542902695393734904530596,0,.5404627381759767775440732435,0,0,0,0,.0007942979562499222118192344,0,.0157620034306015264502665365,0,51
" 1943-01-13",-12,0,0,0,.2716,.3659,0,1384.9505,1.0421,.752420911564372,.5086,.367201580187497,.0156,.011237169463557,0,0,0,.000521032853367011081025876,0,.5080349738854181708914288483,0,0,0,0,.0007466400788749268791100804,0,.0148162832247654348632505443,0,51
" 1943-01-14",-3,0,0,0,.2553,.3439,0,1301.8535,.9795,.752420911564372,.478,.367201580187497,.0146,.011237169463557,0,0,0,.0004897708821649904161643235,0,.4775528754522930806379431169,0,0,0,0,.0007018416741424312663634756,0,.0139273062312795087714555116,0,51
" 1943-01-15",-8,.46,0,0,.24,.3233,0,1223.7422,.9208,.752420911564372,.4494,.367201580187497,.0138,.011237169463557,0,0,0,.0004603846292350909911944641,0,.4488997029251554957996665299,0,0,0,0,.000659731173693885390381667,0,.0130916678574027382451681809,0,51
" 1943-01-16",-21,.2,0,0,.2256,.3039,0,1150.3177,.8655,.752420911564372,.4224,.367201580187497,.0129,.011237169463557,0,0,0,.0004327615514809855317227962,0,.4219657207496461660516865391,0,0,0,0,.000620147303272252266958767,0,.0123061677859585739504580901,0,51
" 1943-01-17",-32,0,0,0,.212,.2857,0,1081.2987,.8136,.752420911564372,.3971,.367201580187497,.0122,.011237169463557,0,0,0,.0004067958583921263998194285,0,.3966477775046673960885853463,0,0,0,0,.000582938465075917130941241,0,.0115677977188010595134306046,0,51
" 1943-01-18",-30,0,0,0,.1993,.2685,0,1016.4207,.7648,.752420911564372,.3732,.367201580187497,.0114,.011237169463557,0,0,0,.0003823881068885988158302628,0,.3728489108543873523232702255,0,0,0,0,.0005479621571713621030847665,0,.0108737298556729959426247684,0,51
" 1943-01-19",-30,0,0,0,.1874,.2524,0,955.4355,.7189,.752420911564372,.3508,.367201580187497,.0107,.011237169463557,0,0,0,.000359444820475282886880447,0,.3504779762031241111838740112,0,0,0,0,.0005150844277410803768996805,0,.0102213060643326161860672822,0,51
" 1943-01-20",-28,.1,0,0,.1761,.2373,0,898.1094,.6758,.752420911564372,.3298,.367201580187497,.0101,.011237169463557,0,0,0,.0003378781312467659136676202,0,.3294492976309366645128415711,0,0,0,0,.0004841793620766155542856997,0,.0096080277004726592149032453,0,51
" 1943-01-21",-20,0,0,0,.1655,.223,0,844.2228,.6352,.752420911564372,.31,.367201580187497,.0095,.011237169463557,0,0,0,.000317605443371959958847563,0,.3096823397730804646420710771,0,0,0,0,.0004551286003520186210285577,0,.0090315460384442996620090506,0,51
" 1943-01-22",-19,0,0,0,.1556,.2097,0,793.5694,.5971,.752420911564372,.2914,.367201580187497,.0089,.011237169463557,0,0,0,.0002985491167696423613167092,0,.2911013993866956367635468125,0,0,0,0,.0004278208843308975037668443,0,.0084896532761376416822885076,0,51
" 1943-01-23",-23,0,0,0,.1463,.1971,0,745.9553,.5613,.752420911564372,.2739,.367201580187497,.0084,.011237169463557,0,0,0,.0002806361697634638196377066,0,.2736353154234938985577340032,0,0,0,0,.0004021516312710436535408336,0,.0079802740795693831813511971,0,51
" 1943-01-24",-24,0,0,0,.1375,.1852,0,701.1979,.5276,.752420911564372,.2575,.367201580187497,.0079,.011237169463557,0,0,0,.0002637979995776559904594442,0,.2572171964980842646442699634,0,0,0,0,.0003780225333947810343283836,0,.0075014576347952201904701253,0,51
" 1943-01-25",-26,0,0,0,.1292,.1741,0,659.1261,.4959,.752420911564372,.242,.367201580187497,.0074,.011237169463557,0,0,0,.0002479701196029966310318776,0,.2417841647081992087656137651,0,0,0,0,.0003553411813910941722686806,0,.0070513701767075069790419178,0,51
" 1943-01-26",-19,0,0,0,.1215,.1637,0,619.5785,.4662,.752420911564372,.2275,.367201580187497,.007,.011237169463557,0,0,0,.0002330919124268168331699649,0,.2272771148257072562396769398,0,0,0,0,.0003340207105076285219325597,0,.0066282879661050565602994027,0,51
" 1943-01-27",-7,0,0,0,.1142,.1539,0,582.4038,.4382,.752420911564372,.2139,.367201580187497,.0065,.011237169463557,0,0,0,.000219106397681207823179767,0,.2136404879361648208652963234,0,0,0,0,.0003139794678771708106166062,0,.0062305906881387531666814385,0,51
" 1943-01-28",-6,0,0,0,.1074,.1446,0,547.4596,.4119,.752420911564372,.201,.367201580187497,.0062,.011237169463557,0,0,0,.000205960013820335353788981,0,.2008220586599949316133785433,0,0,0,0,.0002951406998045405619796098,0,.0058567552468504279766805522,0,51
" 1943-01-29",-3,.05,0,0,.1009,.136,0,514.612,.3872,.752420911564372,.189,.367201580187497,.0058,.011237169463557,0,0,0,.0001936024129911152325616421,0,.1887727351403952357165758316,0,0,0,0,.0002774322578162681282608332,0,.0055053499320394022980797191,0,51
" 1943-01-30",-8,.03,0,0,.0949,.1278,0,483.7353,.364,.752420911564372,.1776,.3668,.0054,.01069732,0,0,0,.0001819862682116483186079436,0,.1774463710319715215735812815,0,0,0,0,.0002607863223472920405651832,0,.005175028936117038160194936,0,51
" 1943-01-31",-18,0,0,0,.0892,.1201,0,454.7112,.3421,.752420911564372,.167,.3668,.0051,.01069732,0,0,0,.000171067092118949419491467,0,.1667995887700532302791664049,0,0,0,0,.0002451391430064545181312722,0,.0048645271999500158705832398,0,51
" 1943-02-01",-14,0,0,0,.0838,.1129,0,427.4285,.6243,1.46063389752015,.1571,.3668,.005,.01069732,0,0,0,.0003121582697653354063729827,0,.1567916134438500364624164203,0,0,0,0,.0004473228005737256373324843,0,.0045726555679530149183482455,0,51
" 1943-02-02",-8,.05,0,0,.0788,.1061,0,401.7828,.5869,1.46063389752015,.1477,.3668,.0047,.01069732,0,0,0,.0002934287735794152819906038,0,.1473841166372190342746714351,0,0,0,0,.0004204834325393020990925352,0,.0042982962338758340232473508,0,51
" 1943-02-03",-4,1.57,0,0,.0741,.0998,0,377.6758,.5516,1.46063389752015,.1388,.3668,.0044,.01069732,0,0,0,.0002758230471646503650711676,0,.138541069638985892218191149,0,0,0,0,.0003952544265869439731469831,0,.0040403984598432839818525097,0,51
" 1943-02-04",-7,0,0,0,.0696,.0938,0,355.0153,.5185,1.46063389752015,.1305,.3668,.0042,.01069732,0,0,0,.0002592736643347713431668975,0,.1302286054606467386850996801,0,0,0,0,.0003715391609917273347581641,0,.0037979745522526869429413592,0,51
" 1943-02-05",-9,0,0,0,.0654,.0882,0,333.7143,.4874,1.46063389752015,.1227,.3668,.0039,.01069732,0,0,0,.0002437172444746850625768837,0,.1224148891330079343639936992,0,0,0,0,.0003492468113322236946726743,0,.0035700960791175257263648776,0,51
" 1943-02-06",-14,0,0,0,.0615,.0829,0,313.6915,.4582,1.46063389752015,.1153,.3668,.0037,.01069732,0,0,0,.0002290942098062039588222706,0,.1150699957850274583021540771,0,0,0,0,.0003282920026522902729923138,0,.0033558903143704741827829849,0,51
" 1943-02-07",-5,0,0,0,.0578,.0779,0,294.87,.4307,1.46063389752015,.1084,.3668,.0035,.01069732,0,0,0,.0002153485572178317212929344,0,.1081657960379258108040248328,0,0,0,0,.000308594482493152856612775,0,.0031545368955082457318160059,0,51
" 1943-02-08",-4,0,0,0,.0544,.0732,0,277.1778,.4049,1.46063389752015,.1019,.3668,.0033,.01069732,0,0,0,.0002024276437847618180153583,0,.1016758482756502621557833426,0,0,0,0,.0002900788135435636852160085,0,.0029652646817777509879070455,0,51
" 1943-02-09",-9,.71,0,0,.0511,.0688,0,260.5471,.3806,1.46063389752015,.0958,.3668,.0031,.01069732,0,0,0,.0001902819851576761089344368,0,.0955752973791112464264363422,0,0,0,0,.000272674084730949864103048,0,.0027873488008710859286326228,0,51
" 1943-02-10",-19,.25,0,0,.048,.0647,0,244.9143,.3577,1.46063389752015,.09,.3668,.0029,.01069732,0,0,0,.0001788650660482155423983706,0,.0898407795363645716408501616,0,0,0,0,.0002563136396470928722568651,0,.0026201078728188207729146654,0,51
" 1943-02-11",-17,.38,0,0,.0451,.0608,0,230.2194,.3363,1.46063389752015,.0846,.3668,.0027,.01069732,0,0,0,.0001681331620853226098544684,0,.0844503327641826973423991517,0,0,0,0,.0002409348212682672999214532,0,.0024629014004496915265397855,0,51
